,STATEFP,COUNTYFP,NAME,NAMELSAD,ALAND,STATENAME,POP,PWPD,PWPD_A,PWPD_A_ERR,PWPD_ALPHA1,PWPD_ALPHA1_ERR,PWPD_ALPHA2,PWPD_ALPHA2_ERR,PWPD_XBREAK,PWPD_XBREAK_ERR,PWPD_DELTA,PWPD_DELTA_ERR
0,31,039,Cuming,Cuming County,1477652222,Nebraska,8560.6708984375,583.3882132896318,354.25156738796994,11.897371899398234,0.3598752122999639,0.015973796069414566,1.1331651975189239,0.038937645882804975,0.8139991114204703,0.03540012594208236,0.1,0.0
1,53,069,Wahkiakum,Wahkiakum County,680962890,Washington,4015.3125,299.60824966923497,97.54663075544397,34.62496380657859,0.8091199302914726,0.01601011307367732,1.088783444636667,0.11302081487370513,1.6230147571481657,0.48642768344630816,0.1,0.0
2,35,011,De Baca,De Baca County,6016819475,New Mexico,1901.6861572265625,285.86357976798064,112.3229481320322,60.18179144964726,0.6694809002369592,0.033906687386165604,1.3558829848466358,0.39245947103141293,2.1928294116552864,1.1487641165110052,0.1,0.0
3,31,109,Lancaster,Lancaster County,2169270569,Nebraska,301687.625,3129.6800059332895,1533.47451687245,271.2156416609477,0.5146014532159626,0.02899297637329385,0.3016987236292579,0.042642277502044,0.5694987839717406,0.14771139396229196,0.1,0.0
4,31,129,Nuckolls,Nuckolls County,1489645188,Nebraska,4198.048828125,395.1095063229244,202.2432790628281,46.32088587832706,0.48599808359450786,0.03320762038084704,1.7333180850260088,0.36670436901983344,2.156396265316282,0.5787330534751992,0.1,0.0
5,72,085,Las Piedras,Las Piedras Municipio,87748359,Puerto Rico,40587.41796875,1972.246080340284,931.1273674129607,28.280039065862503,0.5369489015812823,0.02441593677982652,0.0,0.0,0.0,0.0,0.0,0.0
6,46,099,Minnehaha,Minnehaha County,2089691755,South Dakota,179769.0625,2124.4016667217143,1296.583916273251,502.3930196890201,0.3529757435002825,0.016456679366708995,1.6463306463177358,1.031913905484588,8.909480409229845,5.7358418630327455,0.1,0.0
7,48,327,Menard,Menard County,2336237982,Texas,2164.54150390625,380.49680429489774,154.24626055506937,28.205159999504843,0.6494868931666073,0.01986999634503223,1.2464532982600416,0.12486801963565332,1.3008531001590475,0.2376688251106755,0.1,0.0
8,06,091,Sierra,Sierra County,2468694583,California,3080.167724609375,456.3072130035532,158.26326313665228,36.536173727711784,0.7652265974085983,0.02489100789059565,1.470086423446983,0.15088761981138965,1.248641718917695,0.24413587703404419,0.1,0.0
9,21,053,Clinton,Clinton County,510875755,Kentucky,10511.9306640625,554.8340915089318,116.48410264001309,40.79707612391509,1.1259505067291247,0.05076599419819451,0.7593936985505447,0.05676225228018326,0.5441465656597388,0.12712100007802746,0.1,0.0
10,39,063,Hancock,Hancock County,1376125660,Ohio,75952.5234375,1275.5386077425217,768.1727015309652,352.94609695102196,0.36210735745967787,0.026372344302711622,0.8188728301450995,0.5217562254757281,3.7821961055582634,3.1098255057555955,0.1,0.0
11,48,189,Hale,Hale County,2602109427,Texas,35533.421875,1556.391844122105,790.4146792303294,341.6866007507654,0.48590938954176693,0.020281277181313596,1.4342960153818556,0.6696711935220803,5.105816337032953,2.901875560793464,0.1,0.0
12,01,027,Clay,Clay County,1564251834,Alabama,13644.7744140625,337.46886245728945,86.514724978681,22.356674592384174,0.9818566510951129,0.02051044357593817,0.7647269743548383,0.048112373808075606,0.7579338934309733,0.14574403692032267,0.1,0.0
13,48,011,Armstrong,Armstrong County,2354581674,Texas,1768.030029296875,366.83122698879055,214.84145832247873,9.996154470927124,0.38496382383609645,0.015224667294378082,1.8470970501888098,0.09408150366422376,1.2732173907550672,0.07322958376385767,0.1,0.0
14,39,003,Allen,Allen County,1042479889,Ohio,104150.53125,1505.3919948199975,775.9640570868653,13.799536280507729,0.47530315933838996,0.014294142703363084,0.0,0.0,0.0,0.0,0.0,0.0
15,13,189,McDuffie,McDuffie County,666848710,Georgia,21986.9296875,620.8538979301268,276.73884824221346,5.412484177274347,0.5798169254329834,0.01572034307216863,0.0,0.0,0.0,0.0,0.0,0.0
16,55,111,Sauk,Sauk County,2153685971,Wisconsin,65060.98046875,1039.0945773169174,479.66740790284535,258.0477148035924,0.5543710515818824,0.02137430394703442,0.9610151511180808,0.3072107516812272,2.463498509717711,1.6147778557391923,0.1,0.0
17,05,137,Stone,Stone County,1570754768,Arkansas,12741.787109375,450.9256394475915,99.18579445299999,21.81720230248904,1.0915254077142764,0.013799913779902865,0.6049261870443372,0.0945755148610918,1.5193175689482155,0.22427021404683495,0.1,0.0
18,41,063,Wallowa,Wallowa County,8147835329,Oregon,6829.873046875,520.5609936815375,272.1446451612688,15.81198795748004,0.4683544173455272,0.010694447534768737,1.2417170268736917,0.057649233569902224,1.167252099430112,0.08585853361183016,0.1,0.0
19,42,007,Beaver,Beaver County,1125901370,Pennsylvania,163733.25,1211.0729616617273,633.0052251570982,246.6706889034225,0.4679990196845809,0.015270353751565737,0.4153271088791395,0.033549621644643084,0.6733034842062539,0.4025539754480238,0.1,0.0
20,28,061,Jasper,Jasper County,1751454613,Mississippi,16369.4521484375,388.77043301705453,50.59546385191534,5.823087432436798,1.470904899934479,0.018755790218460505,0.8193329552952491,0.04448451153974582,0.764038625419018,0.04495316648208402,0.1,0.0
21,29,083,Henry,Henry County,1805078265,Missouri,22167.814453125,687.0857310813001,361.5130037088146,60.13700151132344,0.46234097704328775,0.01465823586673977,1.2254760318047675,0.22442965711795984,2.8086538138001345,0.637301473431597,0.1,0.0
22,08,109,Saguache,Saguache County,8206547705,Colorado,5962.8291015625,552.3192001489698,203.76035774445793,10.402886647242152,0.7186082670352898,0.007785386464487889,1.6347945907897825,0.05178924773177559,1.505601648622281,0.06598895174241944,0.1,0.0
23,37,037,Chatham,Chatham County,1765648430,North Carolina,71340.984375,896.3736141326548,301.9910921814815,9.642352822443875,0.7784926293397578,0.02566252913176509,0.0,0.0,0.0,0.0,0.0,0.0
24,49,033,Rich,Rich County,2664700960,Utah,2407.967041015625,250.1086195291043,74.65660227316455,12.470411746958058,0.8721569213426534,0.012193962677444794,1.1993988058045637,0.04085558743844543,1.0057928510572791,0.128906041833348,0.1,0.0
25,40,001,Adair,Adair County,1486277939,Oklahoma,23346.12890625,569.0990593495409,167.3486377268496,3.6798219822982885,0.881294798581591,0.01767420258825887,0.0,0.0,0.0,0.0,0.0,0.0
