hr_uid,year,mortality,region,DGUID,VECTOR,COORDINATE,REF_DATE
0,2001,218080.0,Canada,2016A000011124,v106814527,1.1.1.1.1,2000/2002
0,2006,227216.66666666666,Canada,2016A000011124,v106814527,1.1.1.1.1,2005/2007
0,2011,240945.0,Canada,2016A000011124,v106814527,1.1.1.1.1,2010/2012
0,2020,265651.47441784176,Canada,2016A000011124,v106814527,1.1.1.1.1,2019/2021
471,2020,265.4744961143601,Far North (approximate),,,,2019/2021
472,2020,1804.7556063034508,North (approximate),,,,2019/2021
473,2020,1055.6658328106464,Central (approximate),,,,2019/2021
474,2020,2431.5254889571393,Saskatoon (approximate),,,,2019/2021
475,2020,2417.142011565546,Regina (approximate),,,,2019/2021
476,2020,1671.4736678117583,South (approximate),,,,2019/2021
591,2020,10902.576476668415,Fraser Health,,,,2019/2021
592,2020,7444.102209335715,Interior Health,,,,2019/2021
593,2020,7659.527879096277,Island Health,,,,2019/2021
594,2020,2165.444299417618,Northern Health,,,,2019/2021
595,2020,6133.574839126357,Vancouver Coastal Health,,,,2019/2021
1000,2001,3960.0,Newfoundland and Labrador,2016A000210,v106815409,2.1.1.1.1,2000/2002
1000,2006,4480.0,Newfoundland and Labrador,2016A000210,v106815409,2.1.1.1.1,2005/2007
1000,2011,4533.333333333333,Newfoundland and Labrador,2016A000210,v106815409,2.1.1.1.1,2010/2012
1000,2020,4633.858823302979,Newfoundland and Labrador,2016A000210,v106815409,2.1.1.1.1,2019/2021
1011,2001,2261.6666666666665,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",2015A00071011,v106816291,3.1.1.1.1,2000/2002
1011,2006,2570.0,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",2015A00071011,v106816291,3.1.1.1.1,2005/2007
1011,2011,2578.3333333333335,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",2015A00071011,v106816291,3.1.1.1.1,2010/2012
1011,2020,2597.858794648104,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",2015A00071011,v106816291,3.1.1.1.1,2019/2021
1012,2001,845.0,"Central Regional Integrated Health Authority, Newfoundland and Labrador",2015A00071012,v106817173,4.1.1.1.1,2000/2002
1012,2006,923.3333333333334,"Central Regional Integrated Health Authority, Newfoundland and Labrador",2015A00071012,v106817173,4.1.1.1.1,2005/2007
1012,2011,960.0,"Central Regional Integrated Health Authority, Newfoundland and Labrador",2015A00071012,v106817173,4.1.1.1.1,2010/2012
1012,2020,1030.5265622237882,"Central Regional Integrated Health Authority, Newfoundland and Labrador",2015A00071012,v106817173,4.1.1.1.1,2019/2021
1013,2001,655.0,"Western Regional Integrated Health Authority, Newfoundland and Labrador",2015A00071013,v106818055,5.1.1.1.1,2000/2002
1013,2006,748.3333333333334,"Western Regional Integrated Health Authority, Newfoundland and Labrador",2015A00071013,v106818055,5.1.1.1.1,2005/2007
1013,2011,773.3333333333334,"Western Regional Integrated Health Authority, Newfoundland and Labrador",2015A00071013,v106818055,5.1.1.1.1,2010/2012
