date,CA-AB,CA-BC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-NU,CA-ON,CA-PE,CA-QC,CA-SK,CA-YT
2020-01-01,14.81752523,6.075185342,0,0,0,0,0,0,8.445989378,0,4.59343282,0,0
2020-01-02,0,11.16,0,0,0,0,0,0,3.72,0,0,15.5,0
2020-01-03,3.688114754,2.925056529,0,0,0,0,0,0,3.87887931,0,6.358818542,0,0
2020-01-04,5.892255892,4.62962963,0,42.08754209,0,0,26.51515152,0,7.575757576,0,0,0,0
2020-01-05,1.612941176,0,12.40723982,10.54615385,0,0,6.699909502,0,2.109230769,0,0.868506787,7.444343891,0
2020-01-06,3.05625,1.290416667,0,0,0,0,0,0,3.803333333,0,0,6.791666667,0
2020-01-07,11.70555556,3.344444444,15.05,27.87037037,0,0,0,0,7.525,0,2.22962963,0,0
2020-01-08,15.53846154,0,0,0,0,0,0,0,4.04,0,0,0,0
2020-01-09,0,4.625,0,0,0,0,0,0,1.48,0,0,0,0
2020-01-10,4.149845201,0,0,0,0,0,9.880583812,0,1.679699248,0,0,9.386554622,0
2020-01-11,7.621428571,6.155769231,14.65659341,0,0,0,0,0,2.051923077,0,0,0,0
2020-01-12,4.88,5.083333333,0,0,0,0,0,0,2.541666667,0,0,0,0
2020-01-13,2.962962963,0,0,21.16402116,0,0,0,0,3.80952381,0,0,13.33333333,0
2020-01-14,3.6725,8.744047619,0,0,0,0,0,0,4.896666667,0,2.098571429,0,0
2020-01-15,5.68236715,4.54589372,0,0,0,0,0,0,3.920833333,0,0,0,0
2020-01-16,0,0,10.93650794,0,0,0,0,0,2.296666667,0,1.64047619,0,0
2020-01-17,0,2.75,0,13.75,0,0,8.25,0,2.75,0,2.75,19.25,275
2020-01-18,3.4125,0,0,0,37.91666667,0,31.85,0,4.55,0,3.791666667,15.54583333,0
2020-01-19,9.489130435,3.795652174,0,63.26086957,0,0,0,0,14.55,0,2.530434783,0,0
2020-01-20,14.55537166,3.929950348,0,0,0,0,0,0,7.714346979,0,5.53104123,0,0
2020-01-21,3.823333333,3.1,0,0,0,0,0,0,5.166666667,0,2.17,0,0
2020-01-22,8.573717949,3.609986505,0,0,45.12483131,0,0,0,5.86622807,0,0,0,0
2020-01-23,5.869270833,4.633634868,0,0,30.89089912,0,13.59199561,0,9.885087719,0,1.544544956,0,0
2020-01-24,0,10.975,0,0,0,0,15.99214286,0,7.525714286,0,7.839285714,31.35714286,0
2020-01-25,3.727857936,5.761234991,0,0,0,0,16.9448088,0,17.96149733,0,2.033377056,33.8896176,0
2020-01-26,25.07377434,10.02950973,12.28614943,0,0,0,13.79057589,0,25.07377434,0,3.510328407,14.54278912,0
2020-01-27,19.51423077,19.21856061,0,28.0886655,0,0,17.74020979,0,29.56701632,0,4.435052448,0,0
2020-01-28,21.74882114,24.98800727,17.12141239,0,46.27408754,0,21.28608027,0,24.06252552,0,5.090149629,40.25845616,0
2020-01-29,28.2567619,45.57542243,11.84960983,0,32.81430415,0,0,0,19.14167742,0,6.836313364,0,0
2020-01-30,7.217701149,20.04916986,9.423109834,0,0,0,0,0,12.63097701,0,4.21032567,11.62851852,0
2020-01-31,21.43800322,14.79222222,0,0,0,0,0,0,15.43536232,0,0,0,0
2020-02-01,13.69180135,15.64777297,21.51568783,0,0,0,0,0,9.779858105,97.79858105,0,26.40561688,0
2020-02-02,62.0285168,4.962281344,23.57083639,0,0,0,27.91283256,0,21.70998088,0,3.721711008,56.44595029,0
2020-02-03,49.21959342,34.94591133,0,0,0,0,0,0,14.27368209,0,3.44537154,0,0
2020-02-04,5.511666667,26.24603175,0,0,0,0,0,0,11.81071429,0,3.14952381,0,0
2020-02-05,12.38500672,9.93680772,0,0,0,0,14.40117061,0,6.62453848,0,3.456280946,13.96913549,0
2020-02-06,2.371561526,10.01325978,9.486246103,16.60093068,26.35068362,0,0,0,3.689095707,0,1.317534181,10.80378028,0
2020-02-07,8.163978495,6.327083333,0,10.20497312,0,0,0,0,4.28608871,0,0.816397849,0,0
2020-02-08,9.856363636,15.48857143,0,0,0,0,0,0,23.46753247,0,5.632207792,0,0
2020-02-09,0,18.68333333,14.2872549,27.4754902,0,0,17.30955882,0,8.242647059,0,4.121323529,0,0
2020-02-10,5.015827678,7.913861448,0,0,0,0,0,0,3.232422281,0,4.12412498,11.14628373,0
2020-02-11,3.132271805,4.840783699,0,0,0,0,14.23759911,0,8.257807487,0,0,28.47519823,0
2020-02-12,4.845967742,9.889730086,0,0,0,0,0,0,3.065816327,0,1.384562212,0,0
2020-02-13,3.44977381,5.572711538,26.53672161,0,0,0,0,0,8.491750916,0,3.980508242,0,0
2020-02-14,12.3,10.25,0,0,0,0,0,0,12.3,205,6.15,0,0
2020-02-15,2.725490196,10.90196078,0,0,0,0,0,0,3.706666667,0,0,0,0
2020-02-16,0,14.5122739,0,0,0,0,20.4398224,0,8.789123631,0,2.452778688,0,0
2020-02-17,4.502564103,7.381252627,0,0,0,0,0,0,4.797814208,0,0,0,0
2020-02-18,3.950968612,3.198403162,0,0,0,0,0,0,10.34777494,0,4.327251337,18.81413625,0
2020-02-19,0,9.129411765,10.12173913,19.84654731,0,0,0,0,2.976982097,0,2.976982097,0,0
2020-02-20,9.470630631,3.80884058,0,0,0,0,0,0,10.29416373,0,0,0,0
2020-02-21,0,15.56429426,24.14053803,0,0,0,31.76386583,0,3.494025242,0,3.494025242,0,0
2020-02-22,0,5.724279835,0,0,0,0,5.724279835,0,4.636666667,0,0.68691358,0,0
2020-02-23,0,1.9,0,0,0,0,0,0,3.333333333,0,1.4,0,0
2020-02-24,6.779224806,9.415590009,0,0,0,0,0,0,8.097407407,0,0,0,0
2020-02-25,10.1335814,13.83314286,0,0,0,0,0,0,10.1335814,0,5.79061794,16.08504983,0
2020-02-26,13.88103448,19.83004926,0,0,0,0,0,0,16.65724138,0,5.750714286,0,0
2020-02-27,16.91589999,7.781313996,9.472903995,0,0,0,0,0,14.54767399,0,3.890656998,10.99533499,0
2020-02-28,21.44301471,11.43627451,0,0,35.73835784,0,16.43964461,0,16.08226103,0,6.075520833,0,0
2020-02-29,11.92613636,6.559375,7.751988636,0,0,0,9.421647727,0,9.540909091,0,0,0,0
2020-03-01,12.49927928,4.999711712,23.12366667,0,0,0,27.8108964,0,31.2481982,0,3.749783784,0,0
2020-03-02,24.8994728,16.9316415,15.68666786,0,0,0,0,0,10.20878385,0,0,0,0
2020-03-03,9.524445719,15.53988512,18.04631821,37.59649626,50.12866168,0,22.55789776,0,11.52959219,0,5.514152785,0,0
2020-03-04,12.4454023,4.97816092,0,49.7816092,0,0,0,0,11.94758621,0,0,28.87333333,0
2020-03-05,13.86666667,6.303030303,0,0,20.8,0,0,0,9.454545455,63.03030303,0,0,0
2020-03-06,45.08869565,52.42871587,0,0,0,0,0,0,24.1172093,0,5.242871587,0,0
2020-03-07,6.958754209,4.592777778,0,0,0,0,0,0,3.757727273,0,0.835050505,0,0
2020-03-08,6.202,5.088820513,15.9025641,0,0,0,9.859589744,0,5.088820513,0,3.657589744,0,0
2020-03-09,18.69157088,0,0,0,0,0,0,0,8.971954023,0,5.420555556,0,0
2020-03-10,3.951086957,6.491071429,0,28.22204969,0,0,0,0,12.41770186,0,2.257763975,0,0
2020-03-11,15.59409785,33.90021271,0,0,0,0,0,0,24.74715528,0,11.86507445,24.40815315,0
2020-03-12,6.976976329,26.02948861,26.29783386,26.83452434,0,0,0,0,12.07553595,0,6.171940599,15.83236936,0
