province_name,prov_id,health_region,hr_uid,temp_region,temp_region_alt,temp_region_alt2,sub_region_2,climate_id,climate_id_alt,climate_id_alt2,landarea,total_pop,pwpd,pwpd_250m,pwpd_1km,gamma_250m,gamma_1km,pop_sparsity,pop80,frac80,house,anndeath,anndeath_2020extrap,anndeath_old1997,prov_pop,geo_code
Alberta,AB,Calgary,4832,CALGARY INTL A,CALGARY INT'L CS,COP UPPER,Division No. 6 - Calgary,3031092,3031094,3031875,39403,1531029,4526.870117,4526.870117,2841.020854,0.356287851,0.405599471,0.356287851,42810,0.027961573,2.6,7420,7420,4813,4402045,CA-AB
Alberta,AB,Central,4833,LACOMBE CDA 2,,,Division No. 8 - Red Deer,3023722,,,95308,469241,1777.18103,1777.18103,951.9206048,0.413611926,0.459158663,0.413611926,18240,0.038871273,2.5,3432,3432,2943,4402045,CA-AB
Alberta,AB,Edmonton,4834,EDMONTON INTL A,EDMONTON INTERNATIONAL CS,CALMAR,Division No. 11 - Edmonton,3012216,3012206,3011120,11570,1297844,4164.254883,4164.254883,2598.670437,0.297989776,0.3358957,0.297989776,41925,0.032303565,2.6,7824,7824,5039,4402045,CA-AB
Alberta,AB,North,4835,FORT MCMURRAY A,FORT MCMURRAY CS,MILDRED LAKE,Division No. 16 - Fort McMurray,3062697,3062696,3064528,448699,459472,2359.495117,2359.495117,1025.621779,0.490443187,0.530874204,0.490443187,10225,0.022253798,2.7,2565,2565,1979,4402045,CA-AB
Alberta,AB,South,4831,LETHBRIDGE,LETHBRIDGE DEMO FARM AGDM,LETHBRIDGE CDA 2,Division No. 2 - Lethbridge,3033875,3033897,3033892,65785,297182,2182.487793,2182.487793,1205.361854,0.445690167,0.5036132,0.445690167,12350,0.041557082,2.5,2318,2318,1773,4402045,CA-AB
BC,BC,Fraser,591,ABBOTSFORD A,ABBOTSFORD A,WHITE ROCK CAMPBELL SCIENTIFIC,Fraser Valley,1100031,1100032,1108910,15661,1742492,5444.808594,5444.808594,3389.688529,0.312957354,0.353883984,0.312957354,67065,0.014397424,2.7,10903,10903,8295,5131575,CA-BC
BC,BC,Interior,592,KELOWNA,KELOWNA UBCO,OKANAGAN CENTRE,Central Okanagan,1123939,1123996,1125700,217224,756263,1983.317993,1983.317993,988.0222562,0.421283623,0.459614834,0.421283623,42700,0.056461872,2.3,7444,7444,5425,5131575,CA-BC
BC,BC,Island,593,VICTORIA INTL A,MALAHAT,SHAWNIGAN LAKE,Capital,1018621,1014820,1017230,55538,725144,2637.908203,2637.908203,1645.252166,0.387550286,0.443240886,0.387550286,45930,0.06333916,2.2,7660,7660,5854,5131575,CA-BC
BC,BC,Northern,594,PRINCE GEORGE,PRINCE GEORGE AIRPORT AUTO,PRINCE GEORGE STP,Fraser-Fort George,1096439,1096453,1096468,605914,279655,1552.591187,1552.591187,745.569824,0.504806481,0.555183281,0.504806481,8205,0.029339781,2.5,2165,2165,1427,5131575,CA-BC
BC,BC,Vancouver Coastal,595,VANCOUVER INTL A,RICHMOND NATURE PARK,DELTA BURNS BOG,Metro Vancouver,1108395,1106PF7,1102415,51076,1154570,8945.489258,8945.489258,6039.650343,0.439318515,0.515465038,0.439318515,50865,0.058536964,2.4,6134,6134,6640,5131575,CA-BC
Manitoba,MB,Interlake-Eastern,4603,STONY MOUNTAIN,GIMLI HARBOUR CS,GIMLI CLIMATE,Division No. 13 - Selkirk,5022791,5031041,5031042,77810,126954,1085.158203,1085.158203,318.8724701,0.463135377,0.467945222,0.463135377,5050,0.003930137,2.5,1011,1011,950,1377004,CA-MB
Manitoba,MB,Northern,4604,GILLAM A,GILLAM,NORWAY HOUSE,Division No. 22 - Thompson,5061022,5060999,5062040,435966,72555,2694.242432,2694.242432,812.6707458,0.615062489,0.6553872,0.615062489,835,0.011508591,3.5,548,548,364,1377004,CA-MB
Manitoba,MB,Prairie Mountain,4602,BRANDON A,,,Division No. 7 - Brandon,5010481,,,68712,169258,1423.909668,1423.909668,771.7973725,0.457191765,0.516052764,0.457191765,8415,0.066283977,2.4,1539,1539,1832,1377004,CA-MB
Manitoba,MB,Southern Health,4605,KLEEFELD (MAFRI),CARMAN U OF M CS,DEERWOOD RCS,Division No. 2 - Steinbach,5021500,502I001,5020725,27505,195367,1239.219849,1239.219849,572.5050313,0.397217707,0.428935694,0.397217707,6710,0.034345548,2.8,1390,1390,1146,1377004,CA-MB
Manitoba,MB,Winnipeg,4601,WINNIPEG THE FORKS,WINNIPEG CHARLESWOOD 2,WINNIPEG INTL A,Division No. 11 - Winnipeg,5023262,5023225,5023227,654,720808,4815.639648,4815.639648,3059.821369,0.159379331,0.157876794,0.159379331,27960,0.165191509,2.5,6010,6010,5312,1377004,CA-MB
New Brunswick,NB,Zone 1 (Moncton area),1301,MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,MONCTON / GREATER MONCTON ROMEO LEBLANC INTL A,SUSSEX FOUR CORNERS,Westmorland County,8103201,8103202,8105210,10155,213908,1829.787476,1829.787476,1023.749435,0.372085957,0.421439179,0.372085957,9785,0.06389513,2.3,1728,1728,1459,780040,CA-NB
New Brunswick,NB,Zone 2 (Saint John area),1302,SAINT JOHN A,,,Saint John County,8104901,,,10507,153142,1271.415894,1271.415894,553.1918156,0.371378816,0.39379954,0.371378816,7795,0.042052036,2.3,1581,1581,1539,780040,CA-NB
New Brunswick,NB,Zone 3 (Fredericton area),1303,FREDERICTON INTL A,FREDERICTON CDA CS,FREDERICTON AQUATIC CENTRE C/S,York County,8101505,8101605,8101507,23870,185366,1370.001587,1370.001587,588.8262937,0.402463896,0.429522151,0.402463896,5740,0.124534397,2.3,1610,1610,1301,780040,CA-NB
New Brunswick,NB,Zone 4 (Edmundston area),1304,EDMUNDSTON,RIVIERE-DU-LOUP,AROOSTOOK,Madawaska County,8101303,7056616,8100300,7800,46092,879.6287231,879.6287231,363.3093441,0.426348168,0.463551082,0.426348168,2390,0.093769897,2.2,441,441,444,780040,CA-NB
New Brunswick,NB,Zone 5 (Campbellton area),1305,CHARLO AUTO,,,Restigouche County,8100885,,,5510,25488,1017.479736,1017.479736,434.3199615,0.473654065,0.528968798,0.473654065,1625,0.021374713,2.1,318,318,281,780040,CA-NB
New Brunswick,NB,Zone 6 (Bathurst area),1306,BATHURST A,BATHURST A,BAS CARAQUET,Gloucester County,8100506,8100505,8100467,4791,76024,865.8479614,865.8479614,286.2862405,0.35558811,0.341233922,0.35558811,4170,0.09402226,2.2,695,695,626,780040,CA-NB
New Brunswick,NB,Zone 7 (Miramichi area),1307,MIRAMICHI RCS,KOUCHIBOUGUAC,RED PINES,Northumberland County,8100989,8102326,8104295,10021,44351,867.9269409,867.9269409,271.4521225,0.440439113,0.446391931,0.440439113,2265,0.00304284,2.3,388,388,398,780040,CA-NB
NL,NL,Central,1012,GANDER AIRPORT CS,GANDER INTL A,TERRA NOVA NAT PARK CS,Division No. 6 - Grand Falls-Windsor,8401705,8401703,8403851,46949,81279,1357.359375,1357.359375,550.5227766,0.492591054,0.536358635,0.492591054,4505,0.055426115,2.3,1031,1031,892,523631,CA-NL
NL,NL,Eastern,1011,ST. JOHN'S INTL A,,,Division No. 1 - St. John's,8403505,,,21168,297302,2116.373535,2116.373535,1228.545427,0.39388017,0.448644398,0.39388017,11215,0.037722569,2.4,2598,2598,1044,523631,CA-NL
NL,NL,Labrador-Grenfell,1014,GOOSE A,MARY'S HARBOUR A,HAPPY VALLEY GOOSE BAY,Division No. 10 - Happy Valley-Goose Bay,8501900,8502592,8501915,298739,29711,1472.025757,1472.025757,553.2876959,0.624349275,0.681697873,0.624349275,890,0.029954934,2.6,196,196,108,523631,CA-NL
NL,NL,Western,1013,CORNER BROOK,STEPHENVILLE RCS,STEPHENVILLE A,Division No. 5 - Corner Brook,8401298,8403820,8403801,34280,70932,1547.268799,1547.268799,635.9050564,0.500728621,0.551067356,0.500728621,3820,0.053854402,2.2,823,823,675,523631,CA-NL
Nova Scotia,NS,Zone 1 - Western,1201,KENTVILLE CDA CS,,,Kings County,8202810,,,18886,182619,855.9694824,855.9694824,305.0441236,0.355284496,0.351134707,0.355284496,11470,0.078153072,2.2,2058,2058,2019,975898,CA-NS
Nova Scotia,NS,Zone 2 - Northern,1202,DEBERT,,,Colchester County,8201390,,,12434,146763,1020.144653,1020.144653,465.6933762,0.365493502,0.390118579,0.365493502,7515,0.008496219,2.2,1759,1759,971,975898,CA-NS
Nova Scotia,NS,Zone 3 - Eastern,1203,SYDNEY CS,SYDNEY A,GRAND ETANG,Cape Breton Regional Municipality,8205702,8205701,8201969,16521,136856,1155.361206,1155.361206,573.000467,0.395503921,0.436189144,0.395503921,8840,0.064593604,2.3,1752,1752,2415,975898,CA-NS
Nova Scotia,NS,Zone 4 - Central,1204,SHEARWATER RCS,MCNABS ISLAND (AUT),HALIFAX STANFIELD INT'L A,Halifax Regional Municipality,8205092,8203478,8202251,7393,418273,3393.072266,3393.072266,1990.226146,0.350478552,0.401438149,0.350478552,15735,0.037618974,2.3,3268,3268,2547,975898,CA-NS
Nunavut,NU,Nunavut,6201,IQALUIT CLIMATE,IQALUIT A,KIMMIRUT A,Baffin Region,2402592,2402596,2402673,2078563,25999,2591.569824,2591.569824,636.109156,0.706788061,0.746742735,0.706788061,155,0.005961875,3.6,209,209,126,38726,CA-NU
NWT,NT,NWT,6101,YELLOWKNIFE A,,,Northwest Territories,2204101,,,1292574,41343,2596.249023,2596.249023,1003.757576,0.671088811,0.736442675,0.671088811,525,0.012698693,2.7,238,238,147,45119,CA-NT
Ontario,ON,Algoma,3526,SAULT STE MARIE A,,,Algoma District,6057591,,,44446,103626,1775.803101,1775.803101,1143.769212,0.492443574,0.580477647,0.492443574,7070,0.047131669,2.2,1402,1402,1085,14689075,CA-ON
Ontario,ON,Brant,3527,BRANTFORD AIRPORT,WOODSTOCK,HAMILTON A,Brant County,6140942,6149625,6153193,1142,150005,2788.598145,2788.598145,1785.241698,0.31137505,0.37127357,0.31137505,6375,0.009615398,2.5,1582,1582,1121,14689075,CA-ON
Ontario,ON,Chatham-Kent,3540,CHATHAM KENT,KINGSVILLE MOE,WINDSOR RIVERSIDE,Chatham-Kent Division,6131414,6134190,6139520,2547,102209,1702.125854,1702.125854,1070.422046,0.353043167,0.419148561,0.353043167,5755,0.05630611,2.3,934,934,1051,14689075,CA-ON
Ontario,ON,Durham,3530,OSHAWA,TORONTO CITY,TORONTO INTL A,Regional Municipality of Durham,6155875,6158355,6158731,2621,662999,3963.455811,3963.455811,2591.408257,0.258528319,0.296198053,0.258528319,23195,0.153680944,2.8,4309,4309,2715,14689075,CA-ON
Ontario,ON,Eastern,3558,CORNWALL,,,"Stormont, Dundas and Glengarry United Counties",6101874,,,5310,179622,1435.684937,1435.684937,751.1504246,0.330233893,0.36101098,0.330233893,9795,0.05453131,2.4,1875,1875,1645,14689075,CA-ON
Ontario,ON,Grey Bruce,3533,WIARTON A,WIARTON A,MIDLAND WATER POLLUTION CONTROL PLANT,Grey County,6119499,6119498,6115127,8640,150930,1057.854248,1057.854248,554.8092772,0.346679679,0.381292944,0.346679679,9745,0.087530927,2.3,1599,1599,1511,14689075,CA-ON
Ontario,ON,Haldimand-Norfolk,3534,DELHI CS,WOODSTOCK,BRANTFORD AIRPORT,Haldimand County,6131983,6149625,6140942,2971,111332,1077.641724,1077.641724,608.0896436,0.311896816,0.347825996,0.311896816,5390,0.03045686,2.5,961,961,918,14689075,CA-ON
Ontario,ON,Haliburton Kawartha Pineridge,3535,HALIBURTON 3,MUSKOKA,MIDLAND WATER POLLUTION CONTROL PLANT,Haliburton County,6163171,6115529,6115127,9906,176972,1083.207397,1083.207397,558.2692347,0.342827409,0.374493364,0.342827409,11615,0.020331085,2.3,2086,2086,1611,14689075,CA-ON
Ontario,ON,Halton,3536,OAKVILLE TWN,,,Regional Municipality of Halton,6155750,,,984,571293,4519.668457,4519.668457,2802.127991,0.212383774,0.228822282,0.212383774,22035,0.040649474,2.8,3440,3440,1981,14689075,CA-ON
Ontario,ON,Hamilton,3537,HAMILTON A,HAMILTON RBG CS,BRANTFORD AIRPORT,Hamilton Division,6153193,6153301,6140942,1149,542073,5051.532227,5051.532227,3397.202362,0.241440113,0.280766311,0.241440113,26400,0.001947709,2.5,4511,4511,3974,14689075,CA-ON
Ontario,ON,Hastings Prince Edward,3538,BELLEVILLE,TRENTON AWOS,TRENTON A,Hastings County,6150689,6158872,6158875,7430,144873,1485.808594,1485.808594,789.4335236,0.370822479,0.414749139,0.370822479,9125,0.062986066,2.3,1722,1722,1526,14689075,CA-ON
Ontario,ON,Huron Perth,3539,GODERICH,WROXETER,KINCARDINE,Huron County,6122847,6129660,6124127,5611,135609,1387.903687,1387.903687,769.4631357,0.355154134,0.400356801,0.355154134,3450,0.025440874,2.4,1187,1187,1280,14689075,CA-ON
Ontario,ON,Kingston Frontenac Lennox & Addington,3541,KINGSTON CLIMATE,KINGSTON A,GRENADIER ISLAND,Frontenac County,6104142,6104152,6103024,7198,198956,2692.226807,2692.226807,1468.187511,0.392892093,0.448032699,0.392892093,10090,0.050714739,2.3,1917,1917,1480,14689075,CA-ON
Ontario,ON,Lambton,3542,SARNIA,SARNIA CLIMATE,WINDSOR RIVERSIDE,Lambton County,6127510,6127519,6139520,2966,110999,1965.378052,1965.378052,1266.909719,0.367876895,0.442204863,0.367876895,7135,0.064279686,2.3,1358,1358,1128,14689075,CA-ON
Ontario,ON,Leeds Grenville and Lanark,3543,BROCKVILLE CLIMATE,,,Leeds and Grenville United Counties,6100970,,,6740,151272,1284.338379,1284.338379,611.1872875,0.349228164,0.375268636,0.349228164,9220,0.060949699,2.3,1750,1750,1546,14689075,CA-ON
Ontario,ON,Middlesex-London,3544,LONDON A,,,Middlesex County,6144473,,,3336,463905,3666.365723,3666.365723,2314.988225,0.300596992,0.346611907,0.300596992,17215,0.037108868,2.4,3751,3751,2979,14689075,CA-ON
Ontario,ON,Niagara,3546,PORT WELLER (AUT),VINELAND STATION RCS,ST CATHARINES A,Regional Municipality of Niagara,6136699,6139148,6137304,1892,432804,2466.237793,2466.237793,1608.426883,0.230471127,0.258706331,0.230471127,26625,0.061517476,2.4,4294,4294,3786,14689075,CA-ON
Ontario,ON,North Bay Parry Sound,3547,NORTH BAY A,NORTH BAY AIRPORT,SUDBURY CLIMATE,Nipissing District,6085680,6085695,6068145,19018,128386,1638.452637,1638.452637,916.4020067,0.434972913,0.498625505,0.434972913,6655,0.051835924,2.3,1370,1370,862,14689075,CA-ON
Ontario,ON,Northwestern,3549,KENORA A,,,Kenora District,6034076,,,204607,69072,1080.921143,1080.921143,438.7065687,0.538049504,0.585002923,0.538049504,3070,0.044446516,2.5,785,785,681,14689075,CA-ON
Ontario,ON,Ottawa,3551,OTTAWA CDA RCS,OTTAWA CDA,OTTAWA INTL A,Ottawa Division,6105978,6105976,6106001,2892,967506,5482.751465,5482.751465,3200.195657,0.260336252,0.28329815,0.260336252,37535,0.038795628,2.5,6037,6037,4497,14689075,CA-ON
Ontario,ON,Peel,3553,TORONTO INTL A,TORONTO CITY,TORONTO,Regional Municipality of Peel,6158731,6158355,6158350,1264,1452109,8117.645508,8117.645508,4800.201394,0.197226892,0.20118182,0.197226892,39490,0.027194933,3.2,6429,6429,3617,14689075,CA-ON
Ontario,ON,Peterborough,3555,PETERBOROUGH A,PETERBOROUGH TRENT U,TAPLEY,Peterborough County,6166415,6166456,6168525,4213,139768,1953.271973,1953.271973,1219.525048,0.366542646,0.431771048,0.366542646,8685,0.062138763,2.3,1380,1380,1278,14689075,CA-ON
Ontario,ON,Porcupine,3556,TIMMINS CLIMATE,TIMMINS A,KIRKLAND LAKE CS,Cochrane District,6078282,6078286,6074211,279906,81448,2126.965332,2126.965332,1150.587346,0.580937738,0.660479001,0.580937738,3385,0.041560427,2.4,864,864,717,14689075,CA-ON
Ontario,ON,Renfrew,3557,PEMBROKE CLIMATE,PETAWAWA HOFFMAN,PETAWAWA AWOS 2,Renfrew County,6106367,610FC98,6106396,16466,108272,1270.767578,1270.767578,682.0887833,0.42174258,0.477967183,0.42174258,5685,0.052506468,2.3,841,841,900,14689075,CA-ON
Ontario,ON,Simcoe Muskoka,3560,SHANTY BAY,BARRIE-ORO,BARRIE LANDFILL,Simcoe County,6117684,6117700,6110556,9805,517672,2209.349854,2209.349854,1223.822243,0.312125318,0.341681703,0.312125318,25220,0.048718104,2.5,4594,4594,3489,14689075,CA-ON
Ontario,ON,Southwestern,3575,WOODSTOCK,ST THOMAS WPCP,BRANTFORD AIRPORT,Elgin County,6149625,6137362,6140942,3974,201948,1896.939209,1896.939209,1126.595661,0.327285842,0.373944612,0.327285842,3690,0.018272049,2.5,1729,1729,1550,14689075,CA-ON
