province_name,health_region,temp_region,prov_id,climate_id,sub_region_2
Alberta,Calgary,CALGARY INTL A,AB,3031092,Division No. 6 - Calgary
Alberta,Central,LACOMBE CDA 2,AB,3023722,Division No. 8 - Red Deer
Alberta,Edmonton,EDMONTON INTL A,AB,3012216,Division No. 11 - Edmonton
Alberta,North,FORT MCMURRAY A,AB,3062697,Division No. 16 - Fort McMurray
Alberta,Not Reported,,AB,,
Alberta,South,LETHBRIDGE,AB,3033875,Division No. 2 - Lethbridge
BC,Fraser,ABBOTSFORD A,BC,1100032,Fraser Valley
BC,Interior,KELOWNA,BC,1123939,Central Okanagan
BC,Island,VICTORIA INTL A,BC,1018621,Capital
BC,Northern,PRINCE GEORGE,BC,1096439,Fraser-Fort George
BC,Not Reported,,BC,,
BC,Vancouver Coastal,VANCOUVER INTL A,BC,1108395,Metro Vancouver
Manitoba,Interlake-Eastern,STONY MOUNTAIN,MB,5022791,Division No. 13 - Selkirk
Manitoba,Northern,THOMPSON A,MB,5062922,Division No. 22 - Thompson
Manitoba,Not Reported,,MB,,
Manitoba,Prairie Mountain,BRANDON A,MB,5010481,Division No. 7 - Brandon
Manitoba,Southern Health,KLEEFELD (MAFRI),MB,5021500,Division No. 2 - Steinbach
Manitoba,Winnepeg,WINNIPEG INTL A,MB,5023227,Division No. 11 - Winnipeg
New Brunswick,Not Reported,,NB,,
New Brunswick,Zone 1 (Moncton area),MONCTON / GREATER MONCTON ROMEO LEBLANC INTL A,NB,8103202,Westmorland County
New Brunswick,Zone 2 (Saint John area),SAINT JOHN A,NB,8104901,Saint John County
New Brunswick,Zone 3 (Fredericton area),FREDERICTON INTL A,NB,8101505,York County
New Brunswick,Zone 4 (Edmundston area),EDMUNDSTON,NB,8101303,Madawaska County
New Brunswick,Zone 5 (Campbellton area),CHARLO AUTO,NB,8100885,Restigouche County
New Brunswick,Zone 6 (Bathurst area),BATHURST A,NB,8100506,Gloucester County
New Brunswick,Zone 7 (Miramichi area),MIRAMICHI RCS,NB,8100989,Northumberland County
NL,Central,GANDER AIRPORT CS,NL,8401705,
NL,Eastern,ST. JOHN'S INTL A,NL,8403505,Division No. 1 - St. John's
NL,Labrador-Grenfell,HAPPY VALLEY GOOSE BAY,NL,8501915,Division No. 10 - Happy Valley-Goose Bay
NL,Not Reported,,NL,,
NL,Western,CORNER BROOK,NL,8401298,Division No. 5 - Corner Brook
Nova Scotia,Not Reported,,NS,,
Nova Scotia,Zone 1 - Western,KENTVILLE CDA CS,NS,8202810,Kings County
Nova Scotia,Zone 2 - Northern,DEBERT,NS,8201390,Colchester County
Nova Scotia,Zone 3 - Eastern,NORTHEAST MARGAREE (AUT),NS,8204154,Cape Breton Regional Municipality
Nova Scotia,Zone 4 - Central,HALIFAX DOCKYARD,NS,8202240,Halifax Regional Municipality
Nunavut,Nunavut,IQALUIT A,NU,2402596,Baffin Region
NWT,NWT,YELLOWKNIFE A,NT,2204101,Northwest Territories
Ontario,Algoma,SAULT STE MARIE A,ON,6057591,Algoma District
Ontario,Brant,BRANTFORD AIRPORT,ON,6140942,Brant County
Ontario,Chatham-Kent,CHATHAM KENT,ON,6131414,Chatham-Kent Division
Ontario,Durham,OSHAWA,ON,6155875,Regional Municipality of Durham
Ontario,Eastern,CORNWALL,ON,6101874,"Stormont, Dundas and Glengarry United Counties"
Ontario,Grey Bruce,WIARTON A,ON,6119498,Grey County
Ontario,Haldimand-Norfolk,DELHI CS,ON,6131983,Haldimand County
Ontario,Haliburton Kawartha Pineridge,HALIBURTON 3,ON,6163171,Haliburton County
Ontario,Halton,OAKVILLE TWN,ON,6155750,Regional Municipality of Halton
Ontario,Hamilton,HAMILTON A,ON,6153193,Hamilton Division
Ontario,Hastings Prince Edward,BELLEVILLE,ON,6150689,Hastings County
Ontario,Huron Perth,GODERICH,ON,6122847,Huron County
Ontario,Kingston Frontenac Lennox & Addington,KINGSTON A,ON,6104152,Frontenac County
Ontario,Lambton,SARNIA,ON,6127510,Lambton County
Ontario,Leeds Grenville and Lanark,BROCKVILLE CLIMATE,ON,6100970,Leeds and Grenville United Counties
Ontario,Middlesex-London,LONDON A,ON,6144473,Middlesex County
Ontario,Niagara,ST. CATHARINES / NIAGARA DISTRICT A,ON,6137286,Regional Municipality of Niagara
Ontario,North Bay Parry Sound,NORTH BAY A,ON,6085701,Nipissing District
Ontario,Northwestern,KENORA A,ON,6034076,Kenora District
Ontario,Not Reported,,ON,,
Ontario,Ottawa,OTTAWA CDA RCS,ON,6105978,Ottawa Division
Ontario,Peel,TORONTO INTL A,ON,6158731,Regional Municipality of Peel
Ontario,Peterborough,PETERBOROUGH A,ON,6166415,Peterborough County
Ontario,Porcupine,TIMMINS CLIMATE,ON,6078282,Cochrane District
Ontario,Renfrew,PEMBROKE CLIMATE,ON,6106367,Renfrew County
Ontario,Simcoe Muskoka,MUSKOKA,ON,6115529,Simcoe County
Ontario,Southwestern,ST THOMAS WPCP,ON,6137362,Elgin County
Ontario,Sudbury,SUDBURY CLIMATE,ON,6068145,Greater Sudbury Division
Ontario,Thunder Bay,THUNDER BAY,ON,6048260,Thunder Bay District
Ontario,Timiskaming,EARLTON A,ON,6072223,Timiskaming District
Ontario,Toronto,TORONTO CITY,ON,6158355,Toronto Division
Ontario,Waterloo,KITCHENER/WATERLOO,ON,6144239,Waterloo Regional Municipality
Ontario,Wellington Dufferin Guelph,GUELPH TURFGRASS,ON,6143089,Wellington County
Ontario,Windsor-Essex,WINDSOR A,ON,6139530,Essex County
Ontario,York,TORONTO BUTTONVILLE A,ON,6158409,Regional Municipality of York
PEI,Prince Edward Island,CHARLOTTETOWN A,PE,8300301,Queens County
Quebec,Abitibi-Témiscamingue,ROUYN-NORANDA A,QC,7086719,Rouyn-Noranda
Quebec,Bas-Saint-Laurent,POINTE-AU-PERE (INRS),QC,7056068,Rimouski-Neigette
Quebec,Capitale-Nationale,QUEBEC INTL A,QC,7016293,Quebec
Quebec,Chaudière-Appalaches,BEAUPORT,QC,7010565,Levis
Quebec,Côte-Nord,SEPT-ILES,QC,7047914,Sept-Rivières—Caniapiscau
Quebec,Estrie,SHERBROOKE,QC,7028123,Sherbrooke
Quebec,Gaspésie-Îles-de-la-Madeleine,GASPE A,QC,7052602,La Côte-de-Gaspé Regional County Municipality
Quebec,Lanaudière,L'ASSOMPTION,QC,7014160,L'Assomption Regional County Municipality
Quebec,Laurentides,MONTREAL MIRABEL INTL A,QC,7034900,Les Laurentides Regional County Municipality
Quebec,Laval,MCTAVISH,QC,7024745,Laval
Quebec,Mauricie,TROIS RIVIERES A,QC,7018561,Shawinigan
Quebec,Montérégie,MONTREAL/ST-HUBERT,QC,7027329,La Vallée-du-Richelieu Regional County Municipality
Quebec,Montréal,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,QC,702S006,Montreal
