Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
CARWAY,ALBERTA,3031402,49968,71488,PCY,49,-113.38,490002000,-1132234000,1354,2012,2021,2012,2021,2012,2021,,
PINHORN AGCM,ALBERTA,3045100,51498,,PZN,49.03,-111.03,490144022,-1110130061,1061,2013,2021,2013,2021,2018,2021,,
DEL BONITA AGDM,ALBERTA,3042045,32256,71224,XDB,49.05,-112.82,490300000,-1124900000,1310,1992,2021,1992,2021,2002,2021,2002,2007
ONEFOUR CDA,ALBERTA,3044923,10725,71116,WOE,49.12,-110.47,490700000,-1102800000,935,1994,2021,1994,2021,1994,2021,1996,2007
WATERTON PARK GATE,ALBERTA,3056214,26850,71154,WGM,49.13,-113.81,490752080,-1134831010,1289,1994,2021,1994,2021,1994,2021,1996,2007
MILK RIVER,ALBERTA,3044533,8804,71244,WRY,49.13,-112.05,490800000,-1120300000,1050,1994,2021,1994,2021,1994,2021,1996,2007
MASINASIN AGDM,ALBERTA,3044232,31411,71345,XMN,49.14,-111.65,490812044,-1113906084,947.9,2002,2021,2002,2021,2002,2021,2002,2007
BULLHORN HEADWATERS,ALBERTA,3050965,45749,71016,PBH,49.15,-113.55,490909000,-1133302000,1326,2007,2021,2007,2021,2007,2021,2007,2007
CARDSTON,ALBERTA,3031322,26971,71153,WFJ,49.2,-113.29,491202070,-1131709020,1136,1994,2021,1994,2021,1994,2021,1996,2007
PAKOWKI LAKE AGCM,ALBERTA,3045000,46912,71070,PPL,49.22,-111.13,491329006,-1110734006,915,2007,2021,2008,2021,2007,2021,2007,2007
MILK RIVER RIDGE RESERVOIR,ALBERTA,3044545,45767,71015,PRR,49.28,-112.54,491702000,-1123218000,1305,2007,2021,2007,2021,2007,2021,2007,2007
WARNER AGCM,ALBERTA,3046951,51497,,PZW,49.28,-112.16,491658051,-1120937066,1004,2013,2021,2013,2021,2018,2021,,
BULLHORN COULEE RESERVOIR,ALBERTA,3050960,45747,71839,PBR,49.3,-113.36,491743000,-1132131000,1115,2006,2021,2006,2021,2007,2021,2007,2007
GLENWOOD,ALBERTA,3032818,45748,71885,PCR,49.33,-113.52,492004000,-1133128000,1074,2006,2021,2006,2021,2007,2021,2007,2007
ST. MARY RESERVOIR,ALBERTA,3056100,45727,71837,PMR,49.36,-113.11,492141000,-1130636000,1128,2006,2021,2006,2021,2007,2021,2007,2007
MANYBERRIES AGCM,ALBERTA,3044203,46809,71051,PMB,49.36,-110.68,492150000,-1104041005,927,2007,2021,2008,2021,2007,2021,2007,2007
LODGE CREEK,ALBERTA,3023900,52458,,PLZ,49.46,-110.34,492727756,-1102028320,1068,2014,2021,2014,2021,2018,2021,,
BEAVER MINES,ALBERTA,3050602,50028,71304,PBM,49.47,-114.18,492804500,-1141030000,1257,2012,2021,2012,2021,2012,2021,,
RAYMOND AGDM,ALBERTA,3035422,42729,71536,PRY,49.48,-112.68,492900000,-1124100000,937,2004,2021,2004,2021,2004,2021,2004,2007
FOREMOST AGDM,ALBERTA,3032642,32257,71225,XFM,49.48,-111.49,492900001,-1112910000,881,1999,2021,1999,2021,2002,2021,2002,2007
WRENTHAM AGDM,ALBERTA,3037675,31412,71343,XWM,49.5,-112.12,493000000,-1120700000,943.94,2002,2021,2002,2021,2002,2021,2002,2007
PINCHER CREEK CLIMATE,ALBERTA,3035208,27218,71736,PCK,49.52,-114,493118003,-1140017001,1190,1996,2021,2010,2021,1996,2021,1996,2007
PINCHER CREEK,ALBERTA,3035198,49368,71085,ZPC,49.52,-114,493114000,-1135950000,1189.6,2011,2021,2011,2021,2011,2021,,
ARDENVILLE,ALBERTA,3030200,53098,,PAV,49.53,-113.43,493139040,-1132602090,1126,2014,2021,2014,2021,2018,2021,,
ETZIKOM AGCM,ALBERTA,3032450,46732,71409,PET,49.55,-111.05,493310002,-1110315008,845,2007,2021,2008,2021,2007,2021,2007,2007
BLOOD TRIBE AGDM,ALBERTA,3030720,42703,71517,PBT,49.57,-113.05,493400000,-1130300000,980,2004,2021,2004,2021,2004,2021,2004,2007
BROCKET AGDM,ALBERTA,3030830,31407,71341,XBR,49.62,-113.82,493700000,-1134900000,1072.73,2001,2021,2002,2021,2001,2021,2002,2007
CROWSNEST,ALBERTA,3051R4R,10890,71236,WRT,49.63,-114.48,493739090,-1142855020,1303,1993,2021,1994,2021,1993,2021,1996,2007
LETHBRIDGE,ALBERTA,3033875,49268,71267,YQL,49.63,-112.8,493749000,-1124756000,929,2011,2021,2011,2021,2011,2021,,
LETHBRIDGE AGTECH AGCM,ALBERTA,3033877,51377,,PXZ,49.65,-112.76,493850000,-1124545000,918,2013,2021,2013,2021,2018,2021,,
LETHBRIDGE DEMO FARM AGDM,ALBERTA,3033897,42726,71509,PQL,49.68,-112.75,494100000,-1124500000,903,2004,2021,2004,2021,2004,2021,2004,2007
LETHBRIDGE CDA 2,ALBERTA,3033892,46867,,,49.7,-112.78,494200000,-1124700000,921.1,2004,2021,,,2004,2021,2007,2007
LETHBRIDGE CDA,ALBERTA,3033890,2265,71243,WQL,49.7,-112.77,494142000,-1124603000,910,1908,2021,1994,2021,1908,2021,1908,2007
