date,temp_mean,temp_min,temp_max,climate_id,theta,temp_mean_avg,temp_min_avg,temp_max_avg
2020-01-01,0.2,-2.6,3.0,8300301.0,6.270283489300368,-6.993749999999819,-10.16874999999982,-3.7874999999998202
2020-01-02,-0.9,-2.9,1.1,8300301.0,0.004300605959738135,-7.543749999999741,-10.899999999999771,-4.124999999999716
2020-01-03,-0.8,-3.2,1.6,8300301.0,0.02150302979869778,-8.093750000000007,-11.187499999999977,-4.968750000000036
2020-01-04,0.7,-2.4,3.7,8300301.0,0.03870545363765743,-5.137499999999576,-9.7312499999996,-0.5499999999995534
2020-01-05,-3.2,-5.8,-0.6,8300301.0,0.05590787747661352,-3.199999999999919,-8.056249999999912,1.6625000000000658
2020-01-06,-5.6,-6.2,-5.0,8300301.0,0.07311030131557317,-5.162499999999883,-8.681249999999952,-1.5999999999998147
2020-01-07,-8.2,-13.8,-2.6,8300301.0,0.09031272515453281,-8.106250000000108,-10.725000000000106,-5.425000000000111
2020-01-08,-7.3,-12.3,-2.2,8300301.0,0.10751514899348891,-8.506250000000154,-11.456249999999997,-5.481250000000314
2020-01-09,-8.1,-11.5,-4.7,8300301.0,0.12471757283244855,-6.479290374039286,-9.600733303795149,-3.328253466350664
2020-01-10,-5.6,-13.1,1.9,8300301.0,0.1419199966714082,-5.816013458013023,-9.141911101265046,-2.4635844887834164
2020-01-11,4.6,-0.2,9.4,8300301.0,0.15912242051036785,-4.493749999999659,-11.031249999999744,2.0500000000004195
2020-01-12,-3.1,-5.9,-0.2,8300301.0,0.17632484434932394,-3.4687500000000444,-7.418750000000106,0.5125000000000157
2020-01-13,-6.4,-7.5,-5.2,8300301.0,0.19352726818828359,-2.0750000000000792,-6.481250000000176,2.3687500000000172
2020-01-14,-6.4,-7.8,-4.9,8300301.0,0.21072969202724323,-7.387500000000594,-12.387500000000212,-2.375000000000969
2020-01-15,-5.3,-8.2,-2.4,8300301.0,0.22793211586619933,-10.525000000000041,-13.587500000000013,-7.39375000000007
2020-01-16,-5.5,-6.9,-4.1,8300301.0,0.24513453970515897,-8.493749999999972,-13.281250000000005,-3.637499999999937
2020-01-17,-8.7,-12.6,-4.8,8300301.0,0.2623369635441186,-6.606249999999967,-11.231249999999921,-1.9625000000000186
2020-01-18,-14.4,-16.8,-12.0,8300301.0,0.2795393873830747,-7.687499999999945,-12.199999999999923,-3.1374999999999673
2020-01-19,-7.1,-12.0,-2.2,8300301.0,0.29674181122203436,-9.143749999999999,-13.793749999999996,-4.443750000000002
2020-01-20,-8.2,-12.9,-3.5,8300301.0,0.313944235060994,-5.612499999999673,-11.27499999999974,0.10625000000039386
2020-01-21,-17.0,-21.6,-12.4,8300301.0,0.3311466588999501,-4.081249999999995,-8.593750000000034,0.4375000000000444
2020-01-22,-13.0,-19.4,-6.5,8300301.0,0.34834908273890974,-7.218750000000052,-10.381250000000055,-4.018750000000049
2020-01-23,-2.4,-7.1,2.3,8300301.0,0.3655515065778694,-7.031249999999852,-11.687500000000107,-2.3249999999995934
2020-01-24,-6.1,-10.6,-1.5,8300301.0,0.3827539304168255,-3.1250000000001434,-8.956250000000159,2.7687499999998764
2020-01-25,-9.5,-15.9,-3.0,8300301.0,0.39995635425578513,-2.8831372513180673,-8.509698077298708,2.1624999999999064
2020-01-26,0.2,-4.7,5.1,8300301.0,0.4171587780947448,-3.0581372513183362,-6.984698077298942,0.26874999999972715
2020-01-27,1.0,-1.9,3.9,8300301.0,0.43436120193370087,-3.1812500000000883,-7.699999999999989,1.3624999999998106
2020-01-28,-3.0,-4.7,-1.2,8300301.0,0.4515636257726605,-3.268749999999968,-8.456249999999935,1.962499999999999
2020-01-29,-8.1,-11.8,-4.4,8300301.0,0.46876604961162016,-3.531250000000176,-6.3250000000000695,-0.6687500000002822
2020-01-30,-9.2,-12.3,-6.0,8300301.0,0.48596847345057625,-4.318749999999973,-7.587499999999945,-0.9874999999999995
2020-01-31,-8.3,-12.6,-3.9,8300301.0,0.5031708972895359,-5.712500000000038,-9.462500000000036,-1.937500000000039
2020-02-01,-7.5,-13.4,-1.6,8300301.0,0.5203733211284955,-6.19374999999995,-10.168749999999996,-2.2249999999999046
2020-02-02,-4.4,-6.5,-2.2,8300301.0,0.5375757449674516,-7.53125000000003,-12.906250000000025,-2.118750000000037
2020-02-03,-4.1,-8.1,-0.1,8300301.0,0.5547781688064113,-8.762500000000085,-13.450000000000033,-4.0375000000001355
2020-02-04,-1.6,-3.4,0.3,8300301.0,0.5719805926453709,-6.124999999999734,-10.631249999999921,-1.6374999999995472
2020-02-05,-6.2,-11.6,-0.7,8300301.0,0.589183016484327,-4.287500000000291,-9.825000000000271,1.237499999999693
2020-02-06,-9.0,-12.6,-5.3,8300301.0,0.6063854403232867,-5.3875,-10.049999999999999,-0.7062500000000005
2020-02-07,0.4,-5.3,6.0,8300301.0,0.6235878641622463,-6.100000000000121,-10.587500000000071,-1.5375000000001666
2020-02-08,-7.3,-12.1,-2.5,8300301.0,0.6407902880012024,-6.1625000000003585,-10.575000000000113,-1.693750000000601
2020-02-09,-12.5,-16.2,-8.8,8300301.0,0.6579927118401621,-5.018749999999962,-10.218749999999954,0.2437500000000311
2020-02-10,-4.3,-9.1,0.6,8300301.0,0.6751951356791217,-7.743750000000046,-12.475000000000074,-2.9375000000000164
2020-02-11,-7.4,-12.5,-2.3,8300301.0,0.6923975595180778,-8.418749999999882,-12.9,-3.899999999999764
2020-02-12,-2.7,-5.1,-0.2,8300301.0,0.7095999833570374,-9.993750000000016,-14.437500000000004,-5.487500000000027
2020-02-13,-5.2,-11.1,0.8,8300301.0,0.7268024071959971,-9.593749999999922,-15.081249999999741,-4.043750000000106
2020-02-14,-14.7,-18.2,-11.1,8300301.0,0.7440048310349532,-8.19375000000007,-11.600000000000067,-4.737500000000076
2020-02-15,-14.4,-21.7,-7.0,8300301.0,0.7612072548739128,-6.743750000000004,-11.318749999999968,-2.1187500000000403
2020-02-16,-3.0,-7.1,1.2,8300301.0,0.7784096787128725,-0.9312499999998685,-5.9749999999998415,4.106250000000103
2020-02-17,-3.8,-10.5,2.9,8300301.0,0.7956121025518286,-2.2999999999996255,-6.343749999999671,1.7312500000004205
2020-02-18,-8.8,-14.5,-3.0,8300301.0,0.8128145263907882,-5.20123810661058,-8.337499999999997,-2.6069510379538308
2020-02-19,-5.0,-11.9,1.9,8300301.0,0.8300169502297479,-5.849999999999943,-8.893749999999947,-2.768749999999936
2020-02-20,-14.9,-17.9,-11.9,8300301.0,0.847219374068704,-4.474999999999989,-8.206250000000034,-0.7062499999999465
2020-02-21,-13.8,-19.7,-7.8,8300301.0,0.8644217979076636,-2.962500000000008,-5.893749999999981,-0.00625000000003384
2020-02-22,-5.0,-10.7,0.7,8300301.0,0.8816242217466232,-5.289259711350543,-9.831257825728912,-0.675354255057129
2020-02-23,-0.7,-5.2,3.9,8300301.0,0.8988266455855793,-6.708919903783494,-11.133335941909582,-2.250118085019052
2020-02-24,-1.3,-6.0,3.5,8300301.0,0.916029069424539,-4.037500000000052,-9.643750000000052,1.5874999999999488
2020-02-25,1.7,-2.0,5.4,8300301.0,0.9332314932634986,1.3437500000001028,-2.399999999999837,5.118750000000044
2020-02-26,-0.6,-3.9,2.8,8300301.0,0.9504339171024547,-2.4437499999998415,-7.018749999999722,2.187500000000038
2020-02-27,-1.6,-3.8,0.6,8300301.0,0.9676363409414144,-4.518749999999976,-8.925,-0.08124999999995253
