date,temp_mean,temp_min,temp_max,climate_id
2016-01-01,-8.2,-17.2,0.8,3012216
2016-01-02,-12.9,-19.2,-6.6,3012216
2016-01-03,-14.9,-22.1,-7.7,3012216
2016-01-04,-15.7,-23.3,-8.0,3012216
2016-01-05,-16.4,-23.4,-9.4,3012216
2016-01-06,-15.5,-21.6,-9.4,3012216
2016-01-07,-10.8,-12.7,-8.9,3012216
2016-01-08,-15.0,-17.8,-12.1,3012216
2016-01-09,-22.3,-27.8,-16.8,3012216
2016-01-10,-13.9,-26.6,-1.1,3012216
2016-01-11,-7.2,-12.5,-1.9,3012216
2016-01-12,-5.2,-10.3,0.0,3012216
2016-01-13,-5.4,-8.9,-1.9,3012216
2016-01-14,-7.0,-12.2,-1.8,3012216
2016-01-15,-15.9,-19.7,-12.1,3012216
2016-01-16,-22.1,-24.5,-19.7,3012216
2016-01-17,-21.9,-26.7,-17.1,3012216
2016-01-18,-13.9,-19.0,-8.8,3012216
2016-01-19,-17.5,-21.9,-13.1,3012216
2016-01-20,-15.9,-20.5,-11.2,3012216
2016-01-21,-12.1,-19.2,-5.0,3012216
2016-01-22,-11.9,-17.2,-6.5,3012216
2016-01-23,-8.8,-14.2,-3.4,3012216
2016-01-24,-7.7,-14.5,-0.9,3012216
2016-01-25,-11.2,-17.5,-4.9,3012216
2016-01-26,-4.1,-13.3,5.1,3012216
2016-01-27,1.5,-2.2,5.1,3012216
2016-01-28,2.8,-2.3,7.8,3012216
2016-01-29,-4.6,-12.3,3.1,3012216
2016-01-30,-7.2,-15.8,1.5,3012216
2016-01-31,-6.4,-12.2,-0.6,3012216
2016-02-01,-7.9,-11.7,-4.0,3012216
2016-02-02,-7.4,-11.8,-3.0,3012216
2016-02-03,-10.8,-17.6,-3.9,3012216
2016-02-04,-11.2,-17.2,-5.2,3012216
2016-02-05,-4.3,-11.8,3.3,3012216
2016-02-06,0.9,-3.8,5.6,3012216
2016-02-07,-4.7,-9.6,0.2,3012216
2016-02-08,-2.0,-7.2,3.2,3012216
2016-02-09,2.4,-2.6,7.4,3012216
2016-02-10,-3.7,-7.9,0.6,3012216
2016-02-11,-5.3,-8.2,-2.3,3012216
2016-02-12,-7.8,-8.9,-6.6,3012216
2016-02-13,-1.4,-7.3,4.6,3012216
2016-02-14,-2.0,-7.0,3.1,3012216
2016-02-15,1.0,-2.2,4.2,3012216
2016-02-16,-0.3,-3.8,3.3,3012216
2016-02-17,-3.5,-10.8,3.8,3012216
2016-02-18,-0.9,-3.7,2.0,3012216
2016-02-19,-5.0,-8.9,-1.1,3012216
2016-02-20,-7.4,-10.5,-4.3,3012216
2016-02-21,-3.6,-10.5,3.3,3012216
2016-02-22,-3.7,-11.7,4.3,3012216
2016-02-23,-3.5,-9.0,2.1,3012216
2016-02-24,-7.5,-15.3,0.4,3012216
2016-02-25,-3.0,-11.6,5.6,3012216
2016-02-26,1.5,-7.9,10.9,3012216
2016-02-27,1.3,-3.6,6.1,3012216
2016-02-28,-5.9,-12.9,1.1,3012216
2016-02-29,-9.9,-14.9,-4.8,3012216
2016-03-01,-6.0,-15.0,3.1,3012216
2016-03-02,0.1,-2.0,2.1,3012216
2016-03-03,0.2,-1.0,1.3,3012216
2016-03-04,-0.8,-5.3,3.8,3012216
2016-03-05,3.5,-3.9,10.9,3012216
2016-03-06,-1.0,-5.1,3.1,3012216
2016-03-07,-0.6,-1.3,0.2,3012216
2016-03-08,-1.0,-3.8,1.8,3012216
2016-03-09,1.5,-5.1,8.1,3012216
2016-03-10,5.9,-2.1,13.8,3012216
2016-03-11,5.4,-0.4,11.1,3012216
2016-03-12,4.9,0.3,9.4,3012216
2016-03-13,3.0,-3.0,8.9,3012216
2016-03-14,-1.6,-3.5,0.4,3012216
2016-03-15,1.1,-2.7,4.8,3012216
2016-03-16,0.8,-4.7,6.3,3012216
2016-03-17,-4.9,-10.5,0.8,3012216
2016-03-18,-3.9,-12.5,4.7,3012216
2016-03-19,2.2,-5.0,9.3,3012216
2016-03-20,1.2,-7.7,10.0,3012216
2016-03-21,-1.6,-3.4,0.2,3012216
2016-03-22,-4.9,-6.9,-2.9,3012216
2016-03-23,0.4,-5.8,6.6,3012216
2016-03-24,0.2,-1.8,2.1,3012216
2016-03-25,2.3,-3.3,7.9,3012216
2016-03-26,4.8,-0.7,10.2,3012216
2016-03-27,3.6,-4.4,11.5,3012216
2016-03-28,4.8,-3.3,12.9,3012216
2016-03-29,5.5,-2.5,13.5,3012216
2016-03-30,7.2,1.9,12.4,3012216
2016-03-31,3.7,-2.1,9.5,3012216
2016-04-01,6.6,-4.5,17.7,3012216
2016-04-02,12.0,2.0,22.0,3012216
2016-04-03,6.9,-0.5,14.2,3012216
2016-04-04,6.3,-2.3,14.8,3012216
2016-04-05,7.0,-0.1,14.1,3012216
2016-04-06,4.7,-4.5,13.8,3012216
2016-04-07,4.0,-6.3,14.2,3012216
2016-04-08,8.6,-1.7,18.9,3012216
2016-04-09,4.5,-4.8,13.8,3012216
2016-04-10,-2.5,-10.4,5.4,3012216
2016-04-11,5.7,-4.9,16.3,3012216
2016-04-12,10.3,0.7,19.8,3012216
2016-04-13,6.9,-3.6,17.3,3012216
2016-04-14,3.5,-5.8,12.8,3012216
2016-04-15,3.4,-8.9,15.6,3012216
2016-04-16,10.7,3.2,18.2,3012216
2016-04-17,11.7,0.8,22.6,3012216
2016-04-18,16.1,5.9,26.3,3012216
2016-04-19,14.9,5.8,24.0,3012216
2016-04-20,7.4,-1.3,16.0,3012216
2016-04-21,8.0,-1.0,17.0,3012216
2016-04-22,7.9,3.9,11.9,3012216
2016-04-23,3.1,0.2,6.0,3012216
2016-04-24,2.0,0.3,3.6,3012216
2016-04-25,3.1,1.1,5.0,3012216
2016-04-26,7.9,1.9,13.9,3012216
2016-04-27,8.2,-0.5,16.8,3012216
2016-04-28,8.1,0.5,15.7,3012216
2016-04-29,12.1,5.3,18.8,3012216
2016-04-30,8.4,-0.7,17.4,3012216
2016-05-01,12.0,0.5,23.5,3012216
2016-05-02,15.4,2.3,28.5,3012216
2016-05-03,19.7,9.8,29.6,3012216
2016-05-04,17.7,6.5,28.9,3012216
2016-05-05,10.7,3.9,17.5,3012216
2016-05-06,10.3,-1.5,22.1,3012216
2016-05-07,16.2,2.6,29.8,3012216
2016-05-08,12.2,6.5,17.8,3012216
2016-05-09,5.3,0.5,10.0,3012216
2016-05-10,4.6,-6.3,15.5,3012216
2016-05-11,5.7,-4.8,16.1,3012216
2016-05-12,4.2,-4.3,12.7,3012216
2016-05-13,4.2,-6.9,15.3,3012216
2016-05-14,7.2,-4.9,19.2,3012216
2016-05-15,9.9,-1.4,21.1,3012216
2016-05-16,17.3,8.0,26.5,3012216
2016-05-17,15.8,8.0,23.5,3012216
2016-05-18,15.1,3.5,26.7,3012216
2016-05-19,10.5,3.6,17.4,3012216
2016-05-20,4.3,2.1,6.4,3012216
2016-05-21,4.4,3.0,5.7,3012216
2016-05-22,5.8,4.1,7.5,3012216
2016-05-23,7.9,5.5,10.2,3012216
2016-05-24,12.3,6.9,17.7,3012216
2016-05-25,13.8,4.5,23.0,3012216
2016-05-26,14.9,9.3,20.5,3012216
2016-05-27,11.8,9.0,14.5,3012216
2016-05-28,11.1,4.7,17.4,3012216
2016-05-29,12.2,4.5,19.9,3012216
2016-05-30,8.9,6.6,11.2,3012216
2016-05-31,10.6,2.7,18.4,3012216
2016-06-01,15.0,7.6,22.3,3012216
2016-06-02,14.0,3.3,24.7,3012216
2016-06-03,15.7,7.8,23.5,3012216
2016-06-04,16.5,7.9,25.1,3012216
2016-06-05,14.2,3.3,25.1,3012216
2016-06-06,21.0,12.2,29.7,3012216
2016-06-07,20.1,13.5,26.6,3012216
2016-06-08,20.8,14.1,27.4,3012216
2016-06-09,14.9,11.1,18.6,3012216
2016-06-10,13.9,8.5,19.3,3012216
2016-06-11,12.8,9.1,16.5,3012216
2016-06-12,12.1,4.3,19.9,3012216
2016-06-13,12.1,2.5,21.6,3012216
2016-06-14,12.9,6.2,19.6,3012216
2016-06-15,12.8,6.1,19.4,3012216
2016-06-16,9.5,1.8,17.2,3012216
2016-06-17,12.7,7.0,18.4,3012216
2016-06-18,12.3,3.8,20.8,3012216
2016-06-19,15.5,9.1,21.9,3012216
2016-06-20,15.6,7.1,24.0,3012216
