date,temp_mean,temp_min,temp_max,climate_id
2016-01-01,-12.8,-19.4,-6.1,1123939.0
2016-01-02,-8.3,-9.1,-7.5,1123939.0
2016-01-03,-8.5,-9.4,-7.6,1123939.0
2016-01-04,-6.7,-8.6,-4.7,1123939.0
2016-01-05,-3.0,-5.0,-1.0,1123939.0
2016-01-06,-0.1,-1.9,1.7,1123939.0
2016-01-07,0.9,0.1,1.6,1123939.0
2016-01-08,0.3,-1.1,1.6,1123939.0
2016-01-09,-0.3,-1.9,1.4,1123939.0
2016-01-10,,,,1123939.0
2016-01-11,-0.3,-1.6,1.1,1123939.0
2016-01-12,-0.6,-1.9,0.8,1123939.0
2016-01-13,0.4,-1.6,2.4,1123939.0
2016-01-14,-1.2,-6.0,3.6,1123939.0
2016-01-15,-1.5,-3.2,0.3,1123939.0
2016-01-16,-2.1,-3.1,-1.1,1123939.0
2016-01-17,-1.4,-4.5,1.8,1123939.0
2016-01-18,1.3,-0.9,3.5,1123939.0
2016-01-19,-1.4,-5.3,2.6,1123939.0
2016-01-20,1.2,-0.1,2.4,1123939.0
2016-01-21,2.0,0.2,3.8,1123939.0
2016-01-22,3.4,0.1,6.6,1123939.0
2016-01-23,0.6,-1.1,2.3,1123939.0
2016-01-24,1.1,-0.6,2.8,1123939.0
2016-01-25,0.0,-1.5,1.5,1123939.0
2016-01-26,2.0,-0.3,4.2,1123939.0
2016-01-27,3.3,2.0,4.6,1123939.0
2016-01-28,4.5,1.9,7.1,1123939.0
2016-01-29,2.5,-1.3,6.3,1123939.0
2016-01-30,-1.9,-5.8,2.0,1123939.0
2016-01-31,-0.1,-1.0,0.8,1123939.0
2016-02-01,-0.8,-2.6,1.0,1123939.0
2016-02-02,-5.7,-11.4,0.1,1123939.0
2016-02-03,-7.4,-13.4,-1.4,1123939.0
2016-02-04,0.0,-3.0,3.0,1123939.0
2016-02-05,2.9,-0.1,5.8,1123939.0
2016-02-06,1.6,-3.7,6.9,1123939.0
2016-02-07,-2.5,-6.1,1.2,1123939.0
2016-02-08,0.4,-3.4,4.1,1123939.0
2016-02-09,-2.5,-6.9,1.9,1123939.0
2016-02-10,0.3,-4.5,5.1,1123939.0
2016-02-11,0.5,-3.5,4.4,1123939.0
2016-02-12,2.9,0.8,5.0,1123939.0
2016-02-13,3.8,1.7,5.9,1123939.0
2016-02-14,2.6,-0.3,5.5,1123939.0
2016-02-15,5.7,3.1,8.3,1123939.0
