date,temp_mean,temp_min,temp_max,climate_id
2016-01-01,-0.8,-3.5,1.9,8205092.0
2016-01-02,0.4,-2.5,3.2,8205092.0
2016-01-03,2.5,0.6,4.4,8205092.0
2016-01-04,-4.3,-9.5,1.0,8205092.0
2016-01-05,-9.7,-12.6,-6.7,8205092.0
2016-01-06,,-8.7,,8205092.0
2016-01-07,-0.3,-4.7,4.2,8205092.0
2016-01-08,-1.7,-4.1,0.7,8205092.0
2016-01-09,-2.2,-4.3,0.0,8205092.0
2016-01-10,3.9,0.0,7.8,8205092.0
2016-01-11,3.8,-2.2,9.7,8205092.0
2016-01-12,-1.7,-4.9,1.6,8205092.0
2016-01-13,-1.3,-4.8,2.2,8205092.0
2016-01-14,-6.4,-8.4,-4.4,8205092.0
2016-01-15,-6.6,-9.5,-3.6,8205092.0
2016-01-16,-4.5,-6.9,-2.1,8205092.0
2016-01-17,-0.9,-3.3,1.5,8205092.0
2016-01-18,-3.6,-6.5,-0.6,8205092.0
2016-01-19,-7.6,-9.9,-5.3,8205092.0
2016-01-20,-4.0,-7.6,-0.3,8205092.0
2016-01-21,-6.0,-8.4,-3.5,8205092.0
2016-01-22,-7.8,-10.4,-5.2,8205092.0
2016-01-23,-8.2,-12.0,-4.4,8205092.0
2016-01-24,-4.2,-7.4,-0.9,8205092.0
2016-01-25,-4.7,-9.1,-0.3,8205092.0
2016-01-26,,-9.1,,8205092.0
2016-01-27,1.5,-3.0,6.0,8205092.0
2016-01-28,-2.1,-7.1,2.9,8205092.0
2016-01-29,1.0,-0.2,2.2,8205092.0
2016-01-30,-1.4,-2.6,-0.2,8205092.0
2016-01-31,2.3,-0.4,5.0,8205092.0
2016-02-01,5.2,2.6,7.7,8205092.0
2016-02-02,-1.6,-7.3,4.1,8205092.0
2016-02-03,-1.5,-8.3,5.4,8205092.0
2016-02-04,8.0,5.3,10.7,8205092.0
2016-02-05,1.5,-3.5,6.5,8205092.0
2016-02-06,-3.0,-6.0,0.0,8205092.0
2016-02-07,-0.5,-6.9,6.0,8205092.0
2016-02-08,-5.5,-7.6,-3.3,8205092.0
2016-02-09,-2.3,-4.4,-0.1,8205092.0
2016-02-10,-2.4,-5.3,0.5,8205092.0
2016-02-11,-2.9,-6.5,0.8,8205092.0
2016-02-12,-7.3,-10.4,-4.2,8205092.0
2016-02-13,-9.7,-11.6,-7.7,8205092.0
2016-02-14,-11.6,-14.6,-8.6,8205092.0
2016-02-15,-10.0,-15.5,-4.4,8205092.0
2016-02-16,0.3,-7.7,8.3,8205092.0
2016-02-17,4.7,-0.6,10.0,8205092.0
2016-02-18,,-2.6,,8205092.0
2016-02-19,-2.1,-5.9,1.8,8205092.0
2016-02-20,-0.1,-6.2,6.1,8205092.0
2016-02-21,4.9,2.2,7.5,8205092.0
2016-02-22,-3.1,-8.4,2.2,8205092.0
2016-02-23,-6.3,-9.9,-2.6,8205092.0
2016-02-24,0.8,-6.2,7.7,8205092.0
2016-02-25,7.8,5.0,10.5,8205092.0
2016-02-26,1.4,-3.4,6.2,8205092.0
2016-02-27,-2.6,-6.6,1.4,8205092.0
2016-02-28,4.4,-0.6,9.4,8205092.0
2016-02-29,6.0,-0.4,12.3,8205092.0
2016-03-01,,2.8,,8205092.0
2016-03-02,,-5.3,,8205092.0
2016-03-03,,,,8205092.0
2016-03-04,-6.7,-10.8,-2.6,8205092.0
2016-03-05,-5.4,-8.2,-2.6,8205092.0
2016-03-06,-5.4,-11.3,0.6,8205092.0
2016-03-07,-2.6,-8.4,3.2,8205092.0
2016-03-08,1.1,-5.3,7.5,8205092.0
2016-03-09,-0.3,-5.6,5.1,8205092.0
2016-03-10,3.4,-0.9,7.7,8205092.0
2016-03-11,-2.2,-4.1,-0.3,8205092.0
2016-03-12,-1.4,-5.1,2.4,8205092.0
2016-03-13,1.7,-3.3,6.6,8205092.0
2016-03-14,-0.3,-4.9,4.4,8205092.0
2016-03-15,-0.9,-4.7,3.0,8205092.0
2016-03-16,4.8,1.9,7.6,8205092.0
2016-03-17,2.1,-0.4,4.5,8205092.0
2016-03-18,0.5,-4.4,5.4,8205092.0
2016-03-19,-2.4,-5.7,0.9,8205092.0
2016-03-20,-3.1,-7.6,1.5,8205092.0
2016-03-21,0.7,-2.8,4.1,8205092.0
2016-03-22,-1.1,-2.9,0.8,8205092.0
2016-03-23,0.8,-3.9,5.5,8205092.0
2016-03-24,-4.3,-6.9,-1.6,8205092.0
2016-03-25,3.9,-1.9,9.6,8205092.0
2016-03-26,1.3,-4.6,7.1,8205092.0
2016-03-27,-1.0,-5.2,3.2,8205092.0
2016-03-28,3.8,-0.3,7.9,8205092.0
2016-03-29,3.6,-0.4,7.6,8205092.0
2016-03-30,3.7,-2.1,9.4,8205092.0
2016-03-31,8.1,2.8,13.4,8205092.0
2016-04-01,10.2,8.4,11.9,8205092.0
2016-04-02,8.1,4.5,11.6,8205092.0
2016-04-03,0.7,-5.6,6.9,8205092.0
2016-04-04,-3.1,-7.2,1.1,8205092.0
2016-04-05,-4.4,-8.5,-0.3,8205092.0
2016-04-06,-3.5,-8.3,1.4,8205092.0
2016-04-07,,-0.5,,8205092.0
2016-04-08,6.8,4.9,8.7,8205092.0
2016-04-09,4.8,0.6,9.0,8205092.0
2016-04-10,0.3,-2.3,2.8,8205092.0
2016-04-11,2.4,-2.5,7.3,8205092.0
2016-04-12,7.3,5.9,8.7,8205092.0
2016-04-13,6.7,1.0,12.4,8205092.0
2016-04-14,4.5,0.5,8.5,8205092.0
2016-04-15,1.7,0.4,2.9,8205092.0
2016-04-16,3.7,0.6,6.8,8205092.0
2016-04-17,2.8,0.2,5.3,8205092.0
2016-04-18,5.2,-0.8,11.1,8205092.0
2016-04-19,2.2,-1.7,6.1,8205092.0
2016-04-20,4.8,-0.9,10.5,8205092.0
2016-04-21,10.5,1.3,19.7,8205092.0
2016-04-22,13.2,4.8,21.6,8205092.0
2016-04-23,9.0,6.0,11.9,8205092.0
2016-04-24,4.2,-1.2,9.6,8205092.0
2016-04-25,4.9,-1.8,11.5,8205092.0
2016-04-26,2.8,-2.1,7.6,8205092.0
2016-04-27,4.3,-1.8,10.4,8205092.0
2016-04-28,2.6,-0.9,6.0,8205092.0
2016-04-29,3.4,-2.6,9.3,8205092.0
2016-04-30,4.7,-0.8,10.1,8205092.0
2016-05-01,6.0,-0.6,12.5,8205092.0
2016-05-02,6.9,3.4,10.3,8205092.0
2016-05-03,8.8,5.1,12.4,8205092.0
2016-05-04,7.3,3.5,11.1,8205092.0
2016-05-05,6.7,4.2,9.1,8205092.0
2016-05-06,9.7,6.2,13.1,8205092.0
2016-05-07,7.6,5.8,9.4,8205092.0
2016-05-08,10.6,6.7,14.4,8205092.0
2016-05-09,8.8,5.2,12.4,8205092.0
2016-05-10,9.5,4.5,14.4,8205092.0
2016-05-11,9.1,3.4,14.8,8205092.0
2016-05-12,10.7,3.4,18.0,8205092.0
2016-05-13,6.4,3.2,9.5,8205092.0
2016-05-14,14.2,8.4,19.9,8205092.0
2016-05-15,9.3,6.9,11.7,8205092.0
2016-05-16,7.4,5.0,9.8,8205092.0
2016-05-17,10.9,5.4,16.3,8205092.0
2016-05-18,12.9,6.1,19.7,8205092.0
2016-05-19,10.0,5.7,14.3,8205092.0
2016-05-20,12.4,7.3,17.4,8205092.0
2016-05-21,18.8,11.3,26.3,8205092.0
2016-05-22,12.6,9.5,15.7,8205092.0
2016-05-23,8.7,5.7,11.6,8205092.0
2016-05-24,10.0,5.3,14.6,8205092.0
2016-05-25,12.6,8.1,17.0,8205092.0
