date,temp_mean,temp_min,temp_max,climate_id
2016-01-01,-2.3,-3.7,-0.8,6166415.0
2016-01-02,-2.3,-4.9,0.3,6166415.0
2016-01-03,-7.1,-15.0,0.9,6166415.0
2016-01-04,-16.8,-21.5,-12.1,6166415.0
2016-01-05,-13.8,-22.9,-4.6,6166415.0
2016-01-06,-3.9,-10.2,2.5,6166415.0
2016-01-07,-3.5,-9.9,2.9,6166415.0
2016-01-08,-4.6,-11.4,2.3,6166415.0
2016-01-09,3.8,2.3,5.2,6166415.0
2016-01-10,,,,6166415.0
2016-01-11,-11.7,-17.6,-5.7,6166415.0
2016-01-12,-8.3,-14.9,-1.7,6166415.0
2016-01-13,-14.2,-20.3,-8.0,6166415.0
2016-01-14,-6.4,-10.0,-2.8,6166415.0
2016-01-15,-3.4,-4.9,-1.8,6166415.0
2016-01-16,-4.3,-9.7,1.1,6166415.0
2016-01-17,-8.6,-15.6,-1.5,6166415.0
2016-01-18,-15.6,-19.8,-11.4,6166415.0
2016-01-19,-13.6,-20.0,-7.1,6166415.0
2016-01-20,-7.3,-9.4,-5.2,6166415.0
2016-01-21,-12.6,-20.1,-5.0,6166415.0
2016-01-22,-13.3,-22.5,-4.1,6166415.0
2016-01-23,-12.5,-19.9,-5.1,6166415.0
2016-01-24,-11.6,-20.8,-2.3,6166415.0
2016-01-25,-1.5,-6.1,3.2,6166415.0
2016-01-26,3.2,0.5,5.9,6166415.0
2016-01-27,-2.3,-5.2,0.7,6166415.0
2016-01-28,-0.3,-1.5,0.9,6166415.0
2016-01-29,-6.6,-13.1,-0.1,6166415.0
2016-01-30,-4.0,-11.2,3.2,6166415.0
2016-01-31,1.6,-6.0,9.2,6166415.0
2016-02-01,4.7,0.3,9.0,6166415.0
2016-02-02,0.6,-1.2,2.4,6166415.0
2016-02-03,,,,6166415.0
2016-02-04,-0.2,-3.6,3.3,6166415.0
2016-02-05,-2.5,-6.0,1.0,6166415.0
2016-02-06,0.3,-1.9,2.5,6166415.0
2016-02-07,-1.2,-6.0,3.7,6166415.0
2016-02-08,-2.2,-5.3,1.0,6166415.0
2016-02-09,-5.0,-6.2,-3.7,6166415.0
2016-02-10,-8.2,-12.9,-3.4,6166415.0
2016-02-11,-15.8,-18.8,-12.8,6166415.0
2016-02-12,-10.9,-17.4,-4.3,6166415.0
2016-02-13,-22.9,-28.3,-17.4,6166415.0
2016-02-14,-21.4,-29.5,-13.2,6166415.0
2016-02-15,-11.3,-20.1,-2.5,6166415.0
2016-02-16,-2.2,-3.3,-1.0,6166415.0
2016-02-17,-10.1,-18.6,-1.5,6166415.0
2016-02-18,-16.5,-26.7,-6.3,6166415.0
2016-02-19,,,,6166415.0
2016-02-20,,,,6166415.0
2016-02-21,1.8,-2.0,5.6,6166415.0
2016-02-22,-5.2,-8.9,-1.5,6166415.0
2016-02-23,-4.1,-9.0,0.8,6166415.0
2016-02-24,-1.2,-3.1,0.8,6166415.0
2016-02-25,-4.5,-9.6,0.7,6166415.0
2016-02-26,-9.8,-13.7,-5.8,6166415.0
2016-02-27,-4.5,-12.0,3.0,6166415.0
2016-02-28,4.5,-1.4,10.4,6166415.0
2016-02-29,-2.4,-10.6,5.8,6166415.0
2016-03-01,-11.4,-13.3,-9.4,6166415.0
2016-03-02,-12.6,-18.2,-7.0,6166415.0
2016-03-03,-13.8,-21.0,-6.5,6166415.0
2016-03-04,-6.7,-13.6,0.3,6166415.0
2016-03-05,-4.4,-9.0,0.2,6166415.0
2016-03-06,-4.5,-12.1,3.1,6166415.0
2016-03-07,5.4,0.5,10.3,6166415.0
2016-03-08,5.5,-0.5,11.4,6166415.0
2016-03-09,10.3,4.2,16.4,6166415.0
2016-03-10,6.8,2.3,11.2,6166415.0
2016-03-11,1.8,-4.3,7.8,6166415.0
2016-03-12,5.3,-4.8,15.4,6166415.0
2016-03-13,3.4,-2.8,9.6,6166415.0
2016-03-14,5.3,2.6,8.0,6166415.0
2016-03-15,6.8,4.9,8.6,6166415.0
2016-03-16,5.2,0.0,10.3,6166415.0
2016-03-17,3.0,-2.9,8.8,6166415.0
2016-03-18,0.4,-4.2,4.9,6166415.0
2016-03-19,-2.9,-7.9,2.2,6166415.0
2016-03-20,-2.4,-8.2,3.5,6166415.0
2016-03-21,-1.1,-6.4,4.2,6166415.0
2016-03-22,-0.6,-6.5,5.3,6166415.0
2016-03-23,1.4,-1.0,3.7,6166415.0
2016-03-24,-2.3,-4.0,-0.6,6166415.0
2016-03-25,-3.5,-7.5,0.5,6166415.0
2016-03-26,-1.9,-8.4,4.6,6166415.0
2016-03-27,4.2,-6.3,14.7,6166415.0
2016-03-28,4.7,-0.1,9.4,6166415.0
2016-03-29,0.9,-4.8,6.5,6166415.0
2016-03-30,2.9,-5.8,11.5,6166415.0
2016-03-31,9.3,5.0,13.6,6166415.0
2016-04-01,5.2,-2.6,13.0,6166415.0
2016-04-02,0.8,-2.9,4.5,6166415.0
2016-04-03,-5.4,-8.6,-2.2,6166415.0
2016-04-04,-4.4,-8.0,-0.8,6166415.0
2016-04-05,-4.5,-9.5,0.6,6166415.0
2016-04-06,-1.0,-4.3,2.3,6166415.0
2016-04-07,3.3,-0.9,7.5,6166415.0
2016-04-08,-1.5,-5.7,2.7,6166415.0
2016-04-09,-3.0,-7.7,1.7,6166415.0
2016-04-10,-4.4,-9.7,0.9,6166415.0
2016-04-11,5.3,0.5,10.1,6166415.0
2016-04-12,2.0,-3.3,7.2,6166415.0
2016-04-13,0.5,-6.2,7.1,6166415.0
2016-04-14,2.8,-6.3,11.8,6166415.0
2016-04-15,5.7,-5.4,16.7,6166415.0
2016-04-16,8.5,-3.0,19.9,6166415.0
2016-04-17,10.9,-1.8,23.5,6166415.0
2016-04-18,12.2,0.4,23.9,6166415.0
2016-04-19,10.3,3.4,17.2,6166415.0
2016-04-20,6.6,-2.9,16.0,6166415.0
2016-04-21,9.9,-1.8,21.6,6166415.0
2016-04-22,10.8,4.1,17.5,6166415.0
2016-04-23,6.4,-0.3,13.0,6166415.0
2016-04-24,5.7,-0.3,11.6,6166415.0
2016-04-25,3.5,0.3,6.7,6166415.0
2016-04-26,3.4,-2.2,9.0,6166415.0
2016-04-27,3.3,-4.3,10.8,6166415.0
2016-04-28,3.0,-4.3,10.3,6166415.0
2016-04-29,5.6,-2.0,13.1,6166415.0
2016-04-30,6.0,-4.5,16.4,6166415.0
2016-05-01,6.8,2.9,10.6,6166415.0
2016-05-02,7.0,0.0,14.0,6166415.0
2016-05-03,7.8,-1.1,16.6,6166415.0
2016-05-04,9.2,0.9,17.4,6166415.0
2016-05-05,11.4,3.8,19.0,6166415.0
2016-05-06,11.9,0.3,23.4,6166415.0
2016-05-07,11.2,4.4,17.9,6166415.0
2016-05-08,7.9,2.7,13.0,6166415.0
2016-05-09,6.7,-1.2,14.6,6166415.0
2016-05-10,7.7,-2.2,17.5,6166415.0
2016-05-11,11.0,-0.4,22.4,6166415.0
2016-05-12,13.5,1.4,25.5,6166415.0
2016-05-13,13.4,6.3,20.5,6166415.0
2016-05-14,8.2,3.5,12.9,6166415.0
2016-05-15,4.4,2.1,6.7,6166415.0
2016-05-16,7.3,0.8,13.8,6166415.0
2016-05-17,8.0,-1.4,17.4,6166415.0
2016-05-18,8.2,-0.3,16.6,6166415.0
2016-05-19,12.7,5.5,19.9,6166415.0
2016-05-20,12.3,1.5,23.0,6166415.0
2016-05-21,15.4,6.9,23.8,6166415.0
2016-05-22,15.3,6.8,23.8,6166415.0
2016-05-23,15.1,4.8,25.4,6166415.0
2016-05-24,16.0,4.8,27.2,6166415.0
2016-05-25,18.0,8.3,27.7,6166415.0
2016-05-26,18.9,12.9,24.9,6166415.0
2016-05-27,21.0,13.2,28.8,6166415.0
2016-05-28,23.1,15.4,30.8,6166415.0
2016-05-29,23.8,17.6,29.9,6166415.0
2016-05-30,17.9,10.1,25.7,6166415.0
2016-05-31,16.4,9.3,23.4,6166415.0
2016-06-01,14.5,6.3,22.7,6166415.0
2016-06-02,18.4,10.4,26.3,6166415.0
2016-06-03,16.8,8.3,25.3,6166415.0
2016-06-04,16.9,7.6,26.2,6166415.0
2016-06-05,18.8,15.3,22.2,6166415.0
2016-06-06,17.1,10.3,23.9,6166415.0
2016-06-07,14.1,9.4,18.8,6166415.0
2016-06-08,10.3,7.5,13.0,6166415.0
2016-06-09,11.3,4.3,18.2,6166415.0
2016-06-10,12.2,2.4,22.0,6166415.0
2016-06-11,16.3,5.8,26.8,6166415.0
2016-06-12,14.0,10.6,17.4,6166415.0
2016-06-13,12.2,5.8,18.6,6166415.0
2016-06-14,12.3,1.7,22.9,6166415.0
2016-06-15,15.1,4.6,25.6,6166415.0
2016-06-16,18.8,9.8,27.8,6166415.0
2016-06-17,18.7,7.5,29.9,6166415.0
2016-06-18,19.4,8.1,30.6,6166415.0
2016-06-19,20.7,10.3,31.1,6166415.0
2016-06-20,22.5,14.7,30.2,6166415.0
2016-06-21,,,,6166415.0
2016-06-22,,,,6166415.0
2016-06-23,15.2,5.4,24.9,6166415.0
2016-06-24,17.3,7.9,26.7,6166415.0
2016-06-25,18.2,8.0,28.4,6166415.0
2016-06-26,20.5,10.2,30.8,6166415.0
2016-06-27,25.3,19.0,31.5,6166415.0
2016-06-28,,,,6166415.0
2016-06-29,,,,6166415.0
2016-06-30,17.1,6.9,27.2,6166415.0
2016-07-01,15.0,8.1,21.9,6166415.0
2016-07-02,16.1,8.4,23.8,6166415.0
2016-07-03,17.0,7.7,26.3,6166415.0
2016-07-04,17.8,7.1,28.4,6166415.0
2016-07-05,19.9,8.9,30.8,6166415.0
2016-07-06,22.2,12.9,31.4,6166415.0
2016-07-07,24.9,18.5,31.3,6166415.0
2016-07-08,23.2,18.5,27.8,6166415.0
2016-07-09,21.6,17.3,25.8,6166415.0
2016-07-10,19.7,12.5,26.9,6166415.0
2016-07-11,18.6,10.2,27.0,6166415.0
2016-07-12,20.9,11.0,30.8,6166415.0
2016-07-13,23.8,15.7,31.8,6166415.0
2016-07-14,24.3,18.9,29.7,6166415.0
2016-07-15,21.0,14.3,27.6,6166415.0
2016-07-16,16.5,9.6,23.4,6166415.0
2016-07-17,16.8,7.4,26.2,6166415.0
2016-07-18,20.5,12.9,28.1,6166415.0
2016-07-19,17.3,9.0,25.5,6166415.0
2016-07-20,17.6,7.1,28.0,6166415.0
2016-07-21,21.2,11.0,31.4,6166415.0
2016-07-22,26.9,19.6,34.2,6166415.0
2016-07-23,23.3,14.3,32.2,6166415.0
2016-07-24,20.6,13.1,28.0,6166415.0
2016-07-25,24.8,18.9,30.6,6166415.0
2016-07-26,21.3,12.6,29.9,6166415.0
2016-07-27,21.6,10.5,32.7,6166415.0
2016-07-28,23.7,17.5,29.9,6166415.0
2016-07-29,22.7,15.9,29.4,6166415.0
2016-07-30,21.3,14.7,27.8,6166415.0
2016-07-31,21.6,15.9,27.2,6166415.0
2016-08-01,22.2,13.7,30.6,6166415.0
2016-08-02,21.2,11.6,30.8,6166415.0
2016-08-03,21.6,12.0,31.2,6166415.0
