date,temp_mean,temp_min,temp_max,climate_id
2016-01-01,-10.4,-14.5,-6.2,7091299.0
2016-01-02,-11.2,-15.2,-7.2,7091299.0
2016-01-03,-21.8,-28.9,-14.7,7091299.0
2016-01-04,-21.6,-27.2,-16.0,7091299.0
2016-01-05,-12.9,-20.0,-5.8,7091299.0
2016-01-06,-5.7,-8.5,-2.8,7091299.0
2016-01-07,-10.8,-14.0,-7.5,7091299.0
2016-01-08,-7.2,-11.2,-3.1,7091299.0
2016-01-09,-2.3,-5.0,0.4,7091299.0
2016-01-10,1.1,0.1,2.1,7091299.0
2016-01-11,-10.5,-21.3,0.3,7091299.0
2016-01-12,-20.2,-24.0,-16.3,7091299.0
2016-01-13,-23.0,-30.3,-15.7,7091299.0
2016-01-14,-25.9,-35.0,-16.8,7091299.0
2016-01-15,-26.4,-35.2,-17.6,7091299.0
2016-01-16,-15.1,-18.8,-11.3,7091299.0
2016-01-17,-20.9,-26.9,-14.9,7091299.0
2016-01-18,-21.9,-26.9,-16.9,7091299.0
2016-01-19,-15.0,-21.3,-8.7,7091299.0
2016-01-20,-13.9,-17.1,-10.7,7091299.0
2016-01-21,-17.4,-22.7,-12.0,7091299.0
2016-01-22,-14.8,-17.4,-12.2,7091299.0
2016-01-23,-15.7,-18.4,-13.0,7091299.0
2016-01-24,-12.8,-17.7,-7.9,7091299.0
2016-01-25,-12.2,-19.8,-4.5,7091299.0
2016-01-26,-9.8,-17.3,-2.3,7091299.0
2016-01-27,-18.1,-26.9,-9.3,7091299.0
2016-01-28,-7.0,-9.4,-4.5,7091299.0
2016-01-29,-13.8,-19.6,-7.9,7091299.0
2016-01-30,-13.4,-21.6,-5.2,7091299.0
2016-01-31,-2.6,-5.7,0.6,7091299.0
2016-02-01,-15.2,-24.7,-5.6,7091299.0
2016-02-02,-21.8,-30.1,-13.5,7091299.0
2016-02-03,-11.4,-17.4,-5.3,7091299.0
2016-02-04,-14.6,-24.2,-5.0,7091299.0
2016-02-05,-18.8,-27.3,-10.3,7091299.0
2016-02-06,-16.5,-25.2,-7.8,7091299.0
2016-02-07,-25.1,-33.1,-17.0,7091299.0
2016-02-08,-16.0,-20.7,-11.2,7091299.0
2016-02-09,-12.1,-14.3,-9.8,7091299.0
2016-02-10,-18.3,-23.9,-12.7,7091299.0
2016-02-11,-26.4,-31.9,-20.9,7091299.0
2016-02-12,-25.2,-32.4,-18.0,7091299.0
2016-02-13,-30.1,-34.4,-25.7,7091299.0
2016-02-14,-27.3,-34.1,-20.5,7091299.0
2016-02-15,-19.7,-28.9,-10.4,7091299.0
2016-02-16,-10.2,-13.6,-6.8,7091299.0
2016-02-17,-17.6,-26.7,-8.4,7091299.0
2016-02-18,-20.5,-31.3,-9.6,7091299.0
2016-02-19,-8.5,-13.7,-3.3,7091299.0
2016-02-20,-3.5,-6.1,-0.9,7091299.0
2016-02-21,-17.1,-28.3,-5.9,7091299.0
2016-02-22,-22.2,-32.3,-12.0,7091299.0
2016-02-23,-14.7,-22.9,-6.5,7091299.0
2016-02-24,-6.3,-10.9,-1.7,7091299.0
2016-02-25,-12.0,-19.2,-4.8,7091299.0
2016-02-26,-19.8,-25.9,-13.6,7091299.0
2016-02-27,-12.5,-21.9,-3.1,7091299.0
2016-02-28,-22.8,-28.5,-17.1,7091299.0
2016-02-29,-16.9,-22.2,-11.6,7091299.0
2016-03-01,-23.4,-29.2,-17.5,7091299.0
2016-03-02,-23.4,-29.1,-17.7,7091299.0
2016-03-03,-26.6,-34.6,-18.5,7091299.0
2016-03-04,-20.5,-31.6,-9.3,7091299.0
2016-03-05,-14.6,-24.5,-4.6,7091299.0
2016-03-06,-14.1,-27.0,-1.2,7091299.0
2016-03-07,-9.0,-17.8,-0.2,7091299.0
2016-03-08,-14.5,-24.3,-4.6,7091299.0
2016-03-09,-3.7,-9.9,2.6,7091299.0
2016-03-10,-10.0,-17.0,-2.9,7091299.0
2016-03-11,-12.4,-22.2,-2.6,7091299.0
2016-03-12,-0.3,-7.1,6.6,7091299.0
2016-03-13,-6.5,-12.0,-1.0,7091299.0
2016-03-14,-2.3,-8.7,4.2,7091299.0
2016-03-15,1.5,-0.8,3.8,7091299.0
2016-03-16,-2.4,-7.2,2.4,7091299.0
2016-03-17,-6.8,-13.7,0.2,7091299.0
2016-03-18,-12.7,-18.0,-7.3,7091299.0
2016-03-19,-13.1,-19.3,-6.9,7091299.0
2016-03-20,-12.1,-24.3,0.2,7091299.0
2016-03-21,-12.6,-17.7,-7.5,7091299.0
2016-03-22,-14.6,-24.6,-4.5,7091299.0
2016-03-23,-20.4,-30.5,-10.3,7091299.0
2016-03-24,-18.4,-27.9,-8.8,7091299.0
2016-03-25,-11.6,-17.3,-5.8,7091299.0
2016-03-26,-5.5,-17.0,6.1,7091299.0
2016-03-27,3.0,-3.1,9.1,7091299.0
2016-03-28,-1.9,-7.2,3.5,7091299.0
2016-03-29,-5.2,-11.4,1.0,7091299.0
2016-03-30,-4.4,-10.4,1.6,7091299.0
2016-03-31,1.3,0.1,2.5,7091299.0
2016-04-01,-7.3,-14.9,0.3,7091299.0
2016-04-02,-12.2,-18.4,-6.0,7091299.0
2016-04-03,-19.2,-24.9,-13.5,7091299.0
2016-04-04,-19.5,-28.2,-10.7,7091299.0
2016-04-05,-19.0,-28.8,-9.1,7091299.0
2016-04-06,-8.9,-17.6,-0.2,7091299.0
2016-04-07,-5.8,-8.7,-2.8,7091299.0
2016-04-08,-10.9,-16.3,-5.4,7091299.0
2016-04-09,-14.3,-21.3,-7.3,7091299.0
2016-04-10,-14.6,-27.0,-2.2,7091299.0
2016-04-11,-6.3,-11.3,-1.3,7091299.0
2016-04-12,-7.0,-14.2,0.2,7091299.0
2016-04-13,-9.3,-19.6,1.0,7091299.0
2016-04-14,-3.5,-14.4,7.4,7091299.0
2016-04-15,2.8,-5.7,11.3,7091299.0
