date,temp_mean,temp_min,temp_max,climate_id
2016-01-01,-5.2,-8.2,-2.1,4064155
2016-01-02,-9.4,-16.0,-2.8,4064155
2016-01-03,-14.0,-20.3,-7.6,4064155
2016-01-04,-9.8,-14.3,-5.2,4064155
2016-01-05,-11.3,-16.0,-6.5,4064155
2016-01-06,-12.5,-14.7,-10.3,4064155
2016-01-07,-16.7,-18.7,-14.6,4064155
2016-01-08,-20.8,-22.9,-18.7,4064155
2016-01-09,-26.3,-31.4,-21.2,4064155
2016-01-10,-25.0,-29.1,-20.9,4064155
2016-01-11,-20.6,-22.4,-18.7,4064155
2016-01-12,-17.3,-18.7,-15.9,4064155
2016-01-13,-20.2,-22.5,-17.9,4064155
2016-01-14,-21.9,-24.7,-19.0,4064155
2016-01-15,-26.2,-32.7,-19.6,4064155
2016-01-16,-26.7,-33.1,-20.2,4064155
2016-01-17,-25.6,-30.6,-20.5,4064155
2016-01-18,-25.3,-31.3,-19.2,4064155
2016-01-19,-20.7,-25.8,-15.6,4064155
2016-01-20,-17.6,-22.6,-12.6,4064155
2016-01-21,-17.3,-26.1,-8.4,4064155
2016-01-22,-10.7,-13.7,-7.7,4064155
2016-01-23,-8.8,-9.4,-8.1,4064155
2016-01-24,-7.2,-9.6,-4.8,4064155
2016-01-25,-7.1,-9.2,-4.9,4064155
2016-01-26,-10.4,-17.8,-3.0,4064155
2016-01-27,-1.1,-5.7,3.6,4064155
2016-01-28,-3.2,-6.2,-0.2,4064155
2016-01-29,-0.3,-2.8,2.3,4064155
2016-01-30,-1.8,-3.4,-0.1,4064155
2016-01-31,-7.1,-11.7,-2.4,4064155
2016-02-01,-17.3,-22.8,-11.7,4064155
2016-02-02,-15.9,-20.3,-11.5,4064155
2016-02-03,-18.5,-23.8,-13.1,4064155
2016-02-04,-17.7,-21.6,-13.7,4064155
2016-02-05,-14.4,-19.4,-9.3,4064155
2016-02-06,-9.3,-11.5,-7.1,4064155
2016-02-07,-11.4,-14.1,-8.6,4064155
2016-02-08,-14.8,-19.1,-10.4,4064155
2016-02-09,-14.8,-17.8,-11.7,4064155
