date,temp_mean,temp_min,temp_max
2016-01-01,-10.0,-11.5,-8.4
2016-01-02,-15.5,-17.3,-13.7
2016-01-03,-23.3,-27.6,-19.0
2016-01-04,-12.0,-19.0,-4.9
2016-01-05,-11.3,-15.6,-7.0
2016-01-06,-20.9,-26.2,-15.6
2016-01-07,-24.4,-28.8,-19.9
2016-01-08,-21.7,-22.8,-20.5
2016-01-09,-28.1,-30.4,-25.8
2016-01-10,-24.2,-26.9,-21.4
2016-01-11,-26.0,-27.4,-24.5
2016-01-12,-22.6,-26.2,-19.0
2016-01-13,-25.7,-28.5,-22.8
2016-01-14,-24.4,-27.0,-21.8
2016-01-15,-22.7,-23.9,-21.5
2016-01-16,-27.4,-31.3,-23.5
2016-01-17,-17.8,-19.2,-16.4
2016-01-18,-22.9,-27.1,-18.7
2016-01-19,-22.9,-27.6,-18.1
2016-01-20,-19.9,-23.6,-16.1
2016-01-21,-21.9,-26.5,-17.3
2016-01-22,-17.3,-23.5,-11.1
2016-01-23,-12.9,-14.1,-11.6
2016-01-24,-13.8,-16.2,-11.4
2016-01-25,-19.1,-27.7,-10.5
2016-01-26,-20.8,-29.8,-11.7
2016-01-27,-26.9,-29.9,-23.8
2016-01-28,-26.5,-34.7,-18.2
2016-01-29,-17.1,-24.0,-10.2
2016-01-30,-13.1,-13.5,-12.7
2016-01-31,-24.2,-30.3,-18.1
2016-02-01,-26.6,-33.0,-20.2
2016-02-02,-28.3,-33.2,-23.4
2016-02-03,-25.5,-31.1,-19.9
2016-02-04,-26.0,-31.1,-20.9
2016-02-05,-29.5,-31.1,-27.8
2016-02-06,-31.8,-38.6,-25.0
2016-02-07,-24.0,-27.8,-20.2
2016-02-08,-24.6,-31.0,-18.2
2016-02-09,-29.3,-33.9,-24.6
2016-02-10,-29.5,-35.6,-23.4
2016-02-11,-29.8,-32.5,-27.0
2016-02-12,-28.6,-33.3,-23.9
2016-02-13,-23.3,-30.3,-16.3
2016-02-14,-14.9,-18.2,-11.5
2016-02-15,-17.9,-23.4,-12.4
2016-02-16,-25.7,-30.4,-20.9
2016-02-17,-21.4,-29.2,-13.6
2016-02-18,-14.9,-18.7,-11.0
2016-02-19,-10.8,-18.7,-2.8
2016-02-20,-21.9,-26.4,-17.4
2016-02-21,-24.4,-28.9,-19.8
2016-02-22,-25.0,-33.6,-16.3
2016-02-23,-19.8,-26.8,-12.8
2016-02-24,-18.2,-22.5,-13.9
2016-02-25,-13.8,-23.5,-4.0
2016-02-26,-7.5,-11.6,-3.4
2016-02-27,-27.6,-31.7,-23.5
2016-02-28,-27.2,-30.0,-24.3
2016-02-29,-23.6,-27.1,-20.1
2016-03-01,-24.3,-29.9,-18.7
