date,temp_mean,temp_min,temp_max
2016-01-01,-6.1,-13.1,1.0
2016-01-02,-7.0,-14.9,1.0
2016-01-03,-0.1,-1.7,1.6
2016-01-04,-5.8,-11.5,-0.1
2016-01-05,-13.9,-19.9,-7.9
2016-01-06,-9.2,-17.9,-0.5
2016-01-07,-8.3,-17.7,1.2
2016-01-08,-8.9,-15.8,-2.0
2016-01-09,-3.6,-5.1,-2.0
2016-01-10,2.3,-2.0,6.6
2016-01-11,3.0,-4.1,10.0
2016-01-12,-5.6,-8.5,-2.6
2016-01-13,-3.3,-7.2,0.7
2016-01-14,-12.3,-17.9,-6.6
2016-01-15,-10.2,-14.3,-6.1
2016-01-16,-7.8,-13.1,-2.4
2016-01-17,-3.1,-6.1,0.0
2016-01-18,-5.9,-9.5,-2.3
2016-01-19,,-10.5,
2016-01-20,-5.4,-9.6,-1.1
2016-01-21,-9.3,-12.3,-6.3
2016-01-22,-12.7,-18.9,-6.5
2016-01-23,-12.2,-19.1,-5.3
2016-01-24,-8.2,-13.8,-2.6
2016-01-25,-10.4,-18.8,-1.9
2016-01-26,-6.2,-18.4,6.0
2016-01-27,0.4,-4.3,5.1
2016-01-28,-4.8,-11.8,2.3
2016-01-29,0.5,-1.9,2.8
2016-01-30,-2.7,-4.1,-1.2
2016-01-31,0.2,-2.9,3.2
2016-02-01,5.0,0.3,9.7
2016-02-02,-6.2,-14.2,1.8
2016-02-03,-5.6,-16.3,5.2
2016-02-04,5.4,1.7,9.0
2016-02-05,-0.5,-4.5,3.6
2016-02-06,-6.3,-9.5,-3.0
2016-02-07,-3.7,-10.4,3.1
2016-02-08,-6.5,-9.6,-3.4
2016-02-09,-3.5,-4.5,-2.5
2016-02-10,-6.8,-11.9,-1.6
2016-02-11,-5.9,-11.3,-0.5
2016-02-12,-10.0,-14.5,-5.5
2016-02-13,-11.7,-14.8,-8.5
2016-02-14,-14.1,-19.3,-8.8
2016-02-15,-14.5,-21.4,-7.5
2016-02-16,-0.1,-12.3,12.1
2016-02-17,5.3,-1.6,12.1
2016-02-18,-2.0,-6.2,2.3
2016-02-19,-4.4,-9.7,0.9
2016-02-20,-2.6,-10.6,5.5
2016-02-21,3.4,0.9,5.8
2016-02-22,-5.4,-11.9,1.2
2016-02-23,-8.3,-14.1,-2.4
2016-02-24,-2.4,-11.5,6.8
2016-02-25,10.2,5.9,14.4
2016-02-26,0.5,-5.0,6.0
2016-02-27,-5.4,-8.8,-1.9
2016-02-28,1.4,-3.5,6.3
2016-02-29,6.5,-2.9,15.9
2016-03-01,-1.3,-7.9,5.4
2016-03-02,1.6,-8.2,11.3
2016-03-03,-6.7,-12.8,-0.6
2016-03-04,-9.3,-15.4,-3.2
2016-03-05,-6.3,-8.9,-3.6
2016-03-06,-7.8,-14.8,-0.8
2016-03-07,-3.9,-13.0,5.2
2016-03-08,-1.5,-8.3,5.4
2016-03-09,-2.4,-8.4,3.7
2016-03-10,2.4,-2.5,7.2
2016-03-11,-5.9,-10.9,-0.9
2016-03-12,-4.0,-9.1,1.1
2016-03-13,0.6,-3.8,4.9
2016-03-14,-3.0,-7.1,1.2
2016-03-15,-2.5,-9.3,4.3
2016-03-16,5.5,0.3,10.7
