date,temp_mean,temp_min,temp_max
2016-01-01,-4.8,-6.4,-3.2
2016-01-02,-3.8,-5.6,-2.0
2016-01-03,-10.9,-20.1,-1.7
2016-01-04,-22.3,-27.8,-16.7
2016-01-05,-13.6,-24.6,-2.6
2016-01-06,-1.4,-2.6,-0.1
2016-01-07,-0.7,-2.1,0.8
2016-01-08,-3.3,-6.3,-0.2
2016-01-09,0.2,-2.7,3.0
2016-01-10,-7.1,-17.4,3.3
2016-01-11,-16.5,-19.4,-13.6
2016-01-12,-13.9,-17.8,-10.0
2016-01-13,-20.2,-25.9,-14.4
2016-01-14,-16.8,-20.9,-12.7
2016-01-15,-12.8,-17.4,-8.1
2016-01-16,-15.7,-23.4,-8.0
2016-01-17,-14.7,-20.8,-8.6
2016-01-18,-20.5,-24.3,-16.6
2016-01-19,-18.3,-25.1,-11.4
2016-01-20,-12.9,-18.6,-7.1
2016-01-21,-12.1,-15.1,-9.0
2016-01-22,-9.4,-12.5,-6.3
2016-01-23,-15.3,-20.1,-10.4
2016-01-24,,,
2016-01-25,-2.7,-3.9,-1.5
2016-01-26,-5.2,-10.8,0.4
2016-01-27,-8.2,-12.5,-3.8
2016-01-28,-7.3,-12.6,-1.9
2016-01-29,-17.4,-22.1,-12.7
2016-01-30,-8.9,-18.7,0.9
2016-01-31,1.6,0.3,2.9
2016-02-01,-4.9,-10.2,0.4
2016-02-02,-10.3,-17.0,-3.5
2016-02-03,-0.9,-6.0,4.3
2016-02-04,-8.1,-14.1,-2.1
2016-02-05,-12.1,-19.8,-4.4
2016-02-06,-7.6,-12.7,-2.4
2016-02-07,-9.3,-12.7,-5.9
2016-02-08,-5.9,-8.1,-3.6
2016-02-09,-7.7,-9.6,-5.7
2016-02-10,-14.8,-20.8,-8.7
2016-02-11,-22.2,-26.2,-18.2
2016-02-12,-21.4,-30.5,-12.2
2016-02-13,-32.1,-37.7,-26.5
2016-02-14,-26.4,-35.0,-17.8
2016-02-15,-15.1,-22.4,-7.7
2016-02-16,-6.4,-9.1,-3.7
2016-02-17,-14.4,-22.8,-5.9
2016-02-18,-15.3,-24.3,-6.2
2016-02-19,-5.5,-12.0,1.1
2016-02-20,0.7,-0.3,1.6
2016-02-21,-8.1,-15.9,-0.2
2016-02-22,-17.2,-23.8,-10.6
2016-02-23,-9.7,-16.3,-3.0
2016-02-24,-5.7,-9.3,-2.1
2016-02-25,-9.4,-15.8,-2.9
2016-02-26,-15.9,-20.7,-11.0
2016-02-27,-5.0,-11.0,1.0
2016-02-28,-11.2,-13.5,-8.9
2016-02-29,-12.8,-23.2,-2.4
2016-03-01,-19.4,-27.3,-11.4
2016-03-02,-17.9,-24.0,-11.8
2016-03-03,-20.5,-30.6,-10.4
2016-03-04,-12.5,-21.5,-3.4
2016-03-05,-6.2,-11.3,-1.0
2016-03-06,-3.8,-7.0,-0.6
2016-03-07,1.8,-2.8,6.4
2016-03-08,3.4,-1.0,7.8
2016-03-09,4.4,0.4,8.4
2016-03-10,-2.3,-5.0,0.5
2016-03-11,-2.5,-5.4,0.4
2016-03-12,2.3,-4.4,8.9
2016-03-13,1.6,-2.4,5.6
2016-03-14,1.9,-0.1,3.9
2016-03-15,3.6,0.9,6.2
2016-03-16,2.5,1.4,3.5
2016-03-17,1.8,-1.3,4.9
2016-03-18,-5.8,-10.3,-1.3
2016-03-19,-8.4,-14.8,-2.0
2016-03-20,-5.4,-12.2,1.4
2016-03-21,-5.1,-8.2,-1.9
2016-03-22,-6.1,-10.8,-1.4
2016-03-23,-5.8,-9.6,-1.9
2016-03-24,-6.7,-7.7,-5.6
2016-03-25,-3.4,-8.8,2.0
2016-03-26,-1.6,-9.3,6.2
2016-03-27,2.1,-5.1,9.3
2016-03-28,-0.1,-5.1,4.9
2016-03-29,-3.0,-8.9,2.9
2016-03-30,0.6,-4.2,5.3
2016-03-31,5.1,1.9,8.3
2016-04-01,1.8,-2.3,5.9
2016-04-02,-6.4,-11.4,-1.4
2016-04-03,-11.6,-16.0,-7.2
2016-04-04,-10.5,-15.8,-5.2
2016-04-05,-9.9,-17.8,-1.9
2016-04-06,-4.2,-5.1,-3.3
2016-04-07,-5.0,-9.4,-0.5
2016-04-08,-7.7,-11.7,-3.7
2016-04-09,-11.1,-17.3,-4.8
2016-04-10,-8.6,-16.6,-0.5
2016-04-11,-0.1,-3.6,3.5
2016-04-12,-3.3,-7.4,0.8
2016-04-13,-1.4,-7.8,5.1
2016-04-14,-0.3,-9.0,8.4
2016-04-15,6.6,-1.4,14.5
2016-04-16,9.2,0.7,17.7
2016-04-17,8.4,-1.5,18.2
2016-04-18,4.3,0.2,8.3
2016-04-19,5.2,-1.7,12.1
2016-04-20,6.7,-2.4,15.8
2016-04-21,7.7,4.4,11.0
2016-04-22,2.3,-1.6,6.1
2016-04-23,0.4,-5.4,6.1
2016-04-24,4.3,-1.3,9.8
2016-04-25,0.8,-3.6,5.2
2016-04-26,2.6,-2.9,8.0
2016-04-27,0.7,-7.1,8.4
2016-04-28,3.0,-3.4,9.4
2016-04-29,5.6,-0.4,11.6
2016-04-30,8.4,1.3,15.4
2016-05-01,8.1,3.6,12.6
2016-05-02,8.5,0.1,16.9
2016-05-03,11.1,4.7,17.5
2016-05-04,11.0,6.2,15.8
2016-05-05,10.3,1.8,18.8
2016-05-06,12.0,1.7,22.3
2016-05-07,7.8,0.8,14.7
2016-05-08,2.2,-2.9,7.3
2016-05-09,4.7,-2.5,11.9
2016-05-10,7.6,-2.6,17.7
2016-05-11,14.8,6.2,23.4
2016-05-12,17.1,9.4,24.8
2016-05-13,13.4,8.0,18.7
