province_name,prov_id,health_region,temp_region,sub_region_2,climate_id,landarea,pop,pwpd,pop80,anndeath,house
Alberta,AB,Calgary,CALGARY INTL A,Division No. 6 - Calgary,3031092,37988.25,1531029.75,4526.868221,42810,,2.6
Alberta,AB,Central,LACOMBE CDA 2,Division No. 8 - Red Deer,3023722,117087.9375,469241.125,1777.180429,18240,,2.5
Alberta,AB,Edmonton,EDMONTON INTL A,Division No. 11 - Edmonton,3012216,14025.4375,1297844.375,4164.25447,41925,,2.6
Alberta,AB,North,FORT MCMURRAY A,Division No. 16 - Fort McMurray,3062697,780036.9375,459472.125,2359.492341,10225,,2.7
Alberta,AB,South,LETHBRIDGE,Division No. 2 - Lethbridge,3033875,108318.0625,297181.5938,2182.488006,12350,,2.5
BC,BC,Fraser,ABBOTSFORD A,Fraser Valley,1100032,1344914.188,4658125,5079.878435,67065,,2.7
BC,BC,Interior,KELOWNA,Central Okanagan,1123939,72713.0625,756262.5625,1983.317787,42700,,2.3
BC,BC,Island,VICTORIA INTL A,Capital,1018621,107227.3125,725143.8125,2637.907901,45930,,2.2
BC,BC,Northern,PRINCE GEORGE,Fraser-Fort George,1096439,940459.375,279654.4375,1552.591219,8205,,2.5
BC,BC,Vancouver Coastal,VANCOUVER INTL A,Metro Vancouver,1108395,160409.3125,1154569.625,8945.487288,67585,,2.2
Manitoba,MB,Interlake-Eastern,STONY MOUNTAIN,Division No. 13 - Selkirk,5022791,1275620.688,1284942.375,3336.733702,5050,,2.5
Manitoba,MB,Northern,THOMPSON A,Division No. 22 - Thompson,5062922,473640.0625,72554.49219,2694.245306,835,,3.5
Manitoba,MB,Prairie Mountain,BRANDON A,Division No. 7 - Brandon,5010481,155838.375,126953.7578,1085.157953,8415,,2.4
Manitoba,MB,Southern Health,KLEEFELD (MAFRI),Division No. 2 - Steinbach,5021500,41661.75,195367.3906,1239.219704,6710,,2.8
Manitoba,MB,Winnepeg,WINNIPEG INTL A,Division No. 11 - Winnipeg,5023227,150701.625,169258.0938,1423.908935,27960,,2.5
New Brunswick,NB,Zone 1 (Moncton area),MONCTON / GREATER MONCTON ROMEO LEBLANC INTL A,Westmorland County,8103202,29698.125,153141.5625,1271.415838,9785,,2.3
New Brunswick,NB,Zone 2 (Saint John area),SAINT JOHN A,Saint John County,8104901,21853.1875,185365.5781,1370.001845,7795,,2.3
New Brunswick,NB,Zone 3 (Fredericton area),FREDERICTON INTL A,York County,8101505,14445.3125,46091.68359,879.6289664,5740,,2.3
New Brunswick,NB,Zone 4 (Edmundston area),EDMUNDSTON,Madawaska County,8101303,5070.75,25487.92383,1017.479736,2390,,2.2
New Brunswick,NB,Zone 5 (Campbellton area),CHARLO AUTO,Restigouche County,8100885,9276.5625,76024.41406,865.8479623,1625,,2.1
New Brunswick,NB,Zone 6 (Bathurst area),BATHURST A,Gloucester County,8100506,12530.125,44351.19922,867.9268358,4170,,2.2
New Brunswick,NB,Zone 7 (Miramichi area),MIRAMICHI RCS,Northumberland County,8100989,78457.5625,744370.5,1358.006315,2265,,2.3
NL,NL,Central,GANDER AIRPORT CS,Division No. 6 - Grand Falls-Windsor,8401705,89187.8125,81279.375,1357.359256,4505,,2.3
NL,NL,Eastern,ST. JOHN'S INTL A,Division No. 1 - St. John's,8403505,51290.75,297302.125,2116.373813,11215,,2.4
NL,NL,Labrador-Grenfell,HAPPY VALLEY GOOSE BAY,Division No. 10 - Happy Valley-Goose Bay,8501915,618769.625,29711.29883,1472.026257,890,,2.6
